NAME,B25064_001E,B25070_007E,B25070_008E,B25070_009E,B25070_010E,B25070_001E,B25070_011E,B25002_003E,B25002_001E,B08013_001E,B08012_001E,B17001_002E,B17001_001E,B23025_002E,B23025_001E,metropolitan statistical area/micropolitan statistical area,metropolitan division,geo_level,geo_code,parent_cbsa,year
"Okeechobee, FL Micro Area",1082,265,307,214,871,3952,597,3459,18572,415930,14670,6851,38082,16698,33355,36380,,msa,36380,,2024
"Oklahoma City, OK Metro Area",1124,16801,12776,16241,47514,207805,15473,50976,622187,14667040,626047,198783,1428298,747351,1152533,36420,,msa,36420,,2024
"Olean, NY Micro Area",770,730,414,525,1527,7899,891,8461,40356,656865,29051,14056,73591,34008,61551,36460,,msa,36460,,2024
"Olympia-Lacey-Tumwater, WA Metro Area",1736,4266,2819,3429,9814,38412,1730,6264,125163,2861030,110794,28156,294924,149994,243990,36500,,msa,36500,,2024
"Omaha, NE-IA Metro Area",1192,11911,8244,10994,28626,131901,6689,22298,412110,9044625,432941,96695,965582,532583,763743,36540,,msa,36540,,2024
"Oneonta, NY Micro Area",987,581,424,529,999,6060,309,6868,30057,533745,23266,6904,55059,28870,52282,36580,,msa,36580,,2024
"Ontario, OR-ID Micro Area",832,334,511,223,1031,6256,590,1873,21857,451740,21411,7672,54799,24620,45506,36620,,msa,36620,,2024
"Opelousas, LA Micro Area",748,777,589,628,2142,9632,1482,5046,37229,828540,27822,21477,80268,32898,62346,36660,,msa,36660,,2024
"Orangeburg, SC Micro Area",841,582,393,771,2584,10928,2968,8450,41527,913220,29701,17886,79701,35907,67191,36700,,msa,36700,,2024
"Orlando-Kissimmee-Sanford, FL Metro Area",1760,35827,29015,43113,106979,377641,19761,123045,1145360,33186535,1137319,319657,2741480,1479524,2271535,36740,,msa,36740,,2024
"Oshkosh-Neenah, WI Metro Area",965,2214,1395,1699,4575,24876,907,4651,77318,1530390,78946,18699,164992,93012,141291,36780,,msa,36780,,2024
"Oskaloosa, IA Micro Area",793,163,189,180,237,2801,456,985,9728,180135,9990,2683,21227,11356,17471,36820,,msa,36820,,2024
"Othello, WA Micro Area",877,153,113,108,420,1930,236,638,6926,167915,7577,4033,20630,8601,14344,36830,,msa,36830,,2024
"Ottawa, IL Micro Area",908,959,797,1005,2968,15411,1345,6697,68563,1621775,65041,18604,143350,74098,120291,36837,,msa,36837,,2024
"Ottawa, KS Micro Area",1042,252,226,233,398,2891,245,901,11310,274360,11709,2209,25487,13784,20854,36840,,msa,36840,,2024
"Ottumwa, IA Micro Area",920,277,287,263,1111,4422,352,1733,15730,301615,15110,5464,34498,17300,27952,36900,,msa,36900,,2024
"Owatonna, MN Micro Area",1061,369,207,493,670,3118,261,857,15995,321940,16842,3079,36946,19498,29519,36940,,msa,36940,,2024
"Owensboro, KY Metro Area",907,1195,870,691,2340,13926,1722,3324,48604,963835,47755,15725,110052,54349,88507,36980,,msa,36980,,2024
"Owosso, MI Micro Area",899,406,391,469,1160,5590,387,2228,30354,805285,28971,8080,67106,33543,55972,37020,,msa,37020,,2024
"Oxford, MS Micro Area",1025,694,513,449,2139,8432,1206,11178,35218,675795,28158,12285,64309,32210,58868,37060,,msa,37060,,2024
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",2317,9607,7182,10800,27625,99321,5419,15518,295878,8629840,337659,77301,827795,435970,678019,37100,,msa,37100,,2024
"Ozark, AL Micro Area",889,596,393,460,1210,7517,854,3241,22968,414515,18448,9117,48703,21236,39364,37120,,msa,37120,,2024
"Paducah, KY-IL Metro Area",874,913,713,929,2016,11682,1256,8016,49751,842055,42099,15789,100849,47642,83127,37140,,msa,37140,,2024
"Pahrump, NV Micro Area",1181,293,84,585,1240,4925,627,3114,25289,456455,15722,7487,52957,19621,46637,37220,,msa,37220,,2024
"Palatka, FL Micro Area",906,847,610,594,1470,7730,1374,5705,37065,703340,23754,17328,73986,28972,61037,37260,,msa,37260,,2024
"Palestine, TX Micro Area",1041,147,222,393,1447,4863,868,3069,20648,475075,19694,8373,48218,22510,48633,37300,,msa,37300,,2024
"Palm Bay-Melbourne-Titusville, FL Metro Area",1556,4834,3686,5754,17162,60086,3670,41610,299305,6116110,240989,63841,624135,302424,533121,37340,,msa,37340,,2024
"Pampa, TX Micro Area",930,131,185,127,323,1936,370,2031,10345,159325,8921,3083,20147,9913,17142,37420,,msa,37420,,2024
"Panama City-Panama City Beach, FL Metro Area",1456,3866,2385,3079,6394,27980,1677,31341,119406,2275270,90617,25757,206222,106210,172596,37460,,msa,37460,,2024
"Paragould, AR Micro Area",904,443,336,512,1382,6084,652,1609,19603,434205,19034,7874,45217,21646,36628,37500,,msa,37500,,2024
"Paris, TN Micro Area",761,172,237,158,522,3561,608,3636,17088,259770,12032,5831,31918,13921,26634,37540,,msa,37540,,2024
"Paris, TX Micro Area",962,391,235,584,2092,8212,1167,4021,29018,523375,24645,11245,61301,28645,49268,37580,,msa,37580,,2024
"Parkersburg-Vienna, WV Metro Area",818,888,767,805,1539,9174,1042,5131,43008,726740,33980,12944,87061,40356,72399,37620,,msa,37620,,2024
"Payson, AZ Micro Area",1030,295,220,432,867,5316,613,9097,32742,368110,16837,8902,52713,21150,44798,37740,,msa,37740,,2024
"Pella, IA Micro Area",884,198,110,244,528,2970,143,1070,14386,314925,15006,2604,31871,17587,26836,37800,,msa,37800,,2024
"Pensacola-Ferry Pass-Brent, FL Metro Area",1354,4912,4069,6815,13044,59515,4168,27587,229219,5430790,207663,62111,500392,258861,426308,37860,,msa,37860,,2024
"Peoria, IL Metro Area",955,2731,2018,2865,9398,40976,3614,13937,167807,3118645,149800,43276,355179,180417,290482,37900,,msa,37900,,2024
