place_id,place_name,hpi_type,hpi_flavor,yr,avg_index_nsa,quarters_available,NAME,median_income,total_pop,median_age,bachelors_count,masters_count,total_occupied_units,owner_occupied_units,median_home_value,cbsa_code,year,homeownership_rate
11260,"Anchorage, AK",traditional,all-transactions,2014,214.0025,4,"Anchorage, AK Metro Area",76453,392021,33.0,47946,18663,136268,86636,268200,11260,2014,0.6357765579593154
11260,"Anchorage, AK",traditional,all-transactions,2019,230.8475,4,"Anchorage, AK Metro Area",83048,398900,34.0,52286,22002,137784,89426,294800,11260,2019,0.649030366370551
11260,"Anchorage, AK",traditional,all-transactions,2024,318.5925,4,"Anchorage, AK Metro Area",100505,401964,35.6,57575,25023,148466,100185,379100,11260,2024,0.6748009645305996
11460,"Ann Arbor, MI",traditional,all-transactions,2014,163.03,4,"Ann Arbor, MI Metro Area",60805,351454,33.3,54494,36742,136471,82742,199200,11460,2014,0.6062973085857069
11460,"Ann Arbor, MI",traditional,all-transactions,2019,217.415,4,"Ann Arbor, MI Metro Area",72586,367000,33.6,60380,43126,141245,86332,263600,11460,2019,0.611221636164112
11460,"Ann Arbor, MI",traditional,all-transactions,2024,313.83500000000004,4,"Ann Arbor, MI Metro Area",89180,369822,35.0,64674,46968,150550,92768,374100,11460,2024,0.6161939554965128
11500,"Anniston-Oxford, AL",traditional,all-transactions,2014,155.64499999999998,4,"Anniston-Oxford-Jacksonville, AL Metro Area",40919,117186,38.8,8434,3664,45348,31077,103300,11500,2014,0.6853003440063509
11500,"Anniston-Oxford, AL",traditional,all-transactions,2019,178.2525,4,"Anniston-Oxford, AL Metro Area",47255,114618,39.6,8311,4484,44605,31254,118000,11500,2019,0.7006837798453088
11500,"Anniston-Oxford, AL",traditional,all-transactions,2024,274.5,4,"Anniston-Oxford, AL Metro Area",55029,116090,39.3,9874,4609,45015,31654,156600,11500,2024,0.7031878262801289
11540,"Appleton, WI",traditional,all-transactions,2014,151.2475,4,"Appleton, WI Metro Area",60413,228641,38.0,29587,9016,88750,65442,158400,11540,2014,0.737374647887324
11540,"Appleton, WI",traditional,all-transactions,2019,189.885,4,"Appleton, WI Metro Area",67616,235628,38.8,33335,10466,93455,68362,171300,11540,2019,0.7314964421379273
11540,"Appleton, WI",traditional,all-transactions,2024,307.765,4,"Appleton, WI Metro Area",85825,245768,39.4,39891,11975,99754,73140,268900,11540,2024,0.7332036810553962
11700,"Asheville, NC",traditional,all-transactions,2014,219.905,4,"Asheville, NC Metro Area",44820,433204,43.0,61465,25333,181793,123751,179700,11700,2014,0.680724780382083
11700,"Asheville, NC",traditional,all-transactions,2019,305.625,4,"Asheville, NC Metro Area",52735,454351,44.2,74111,32263,191756,129932,220600,11700,2019,0.6775902709693569
11700,"Asheville, NC",traditional,all-transactions,2024,504.57500000000005,4,"Asheville, NC Metro Area",71838,414711,44.0,78889,35883,161264,112183,370900,11700,2024,0.6956481297747792
12020,"Athens-Clarke County, GA",traditional,all-transactions,2014,164.7175,4,"Athens-Clarke County, GA Metro Area",41624,196287,30.7,20050,12018,68975,38585,158600,12020,2014,0.5594055817325118
12020,"Athens-Clarke County, GA",traditional,all-transactions,2019,226.8825,4,"Athens-Clarke County, GA Metro Area",47214,208457,32.2,25183,14947,78662,42583,178700,12020,2019,0.5413414355088861
12020,"Athens-Clarke County, GA",traditional,all-transactions,2024,399.09749999999997,4,"Athens-Clarke County, GA Metro Area",65608,220197,33.6,29079,17974,86101,47934,310200,12020,2024,0.5567182727262169
12100,"Atlantic City-Hammonton, NJ",traditional,all-transactions,2014,214.48,4,"Atlantic City-Hammonton, NJ Metro Area",54392,275325,40.5,30807,10587,101166,68479,230200,12100,2014,0.6768973765889725
12100,"Atlantic City-Hammonton, NJ",traditional,all-transactions,2019,235.7,4,"Atlantic City-Hammonton, NJ Metro Area",62110,266105,41.7,34305,12463,99850,67025,217900,12100,2019,0.671256885327992
12100,"Atlantic City-Hammonton, NJ",traditional,all-transactions,2024,433.7475,4,"Atlantic City-Hammonton, NJ Metro Area",82105,371211,44.5,58701,22648,154441,111334,331700,12100,2024,0.7208837031617252
12220,"Auburn-Opelika, AL",traditional,all-transactions,2014,165.48250000000002,4,"Auburn-Opelika, AL Metro Area",43641,147790,30.2,16049,7911,56637,34197,150100,12220,2014,0.6037925737592034
12220,"Auburn-Opelika, AL",traditional,all-transactions,2019,204.405,4,"Auburn-Opelika, AL Metro Area",51463,161152,31.9,19015,10682,60237,37111,169300,12220,2019,0.6160831382704982
12220,"Auburn-Opelika, AL",traditional,all-transactions,2024,311.555,4,"Auburn-Opelika, AL Metro Area",63649,199825,34.1,27317,15614,76673,50518,247500,12220,2024,0.6588760058951652
12260,"Augusta-Richmond County, GA-SC",traditional,all-transactions,2014,153.655,4,"Augusta-Richmond County, GA-SC Metro Area",46144,575669,37.0,56546,23198,208736,140911,125900,12260,2014,0.6750680285144872
12260,"Augusta-Richmond County, GA-SC",traditional,all-transactions,2019,186.9675,4,"Augusta-Richmond County, GA-SC Metro Area",53269,599616,37.6,65143,26450,215210,144377,146100,12260,2019,0.670865666093583
12260,"Augusta-Richmond County, GA-SC",traditional,all-transactions,2024,301.4675,4,"Augusta-Richmond County, GA-SC Metro Area",69344,624181,38.3,75133,35175,231857,157738,226100,12260,2024,0.6803245103663034
12420,"Austin-Round Rock-San Marcos, TX",traditional,all-transactions,2014,236.7725,4,"Austin-Round Rock, TX Metro Area",61900,1835016,33.3,316670,119146,673901,390412,196500,12420,2014,0.5793313854705662
12420,"Austin-Round Rock-San Marcos, TX",traditional,all-transactions,2019,339.3125,4,"Austin-Round Rock-Georgetown, TX Metro Area",76844,2114441,34.7,408396,163686,764989,445231,281500,12420,2019,0.5820096759561249
