cbsa_code,origin,horizon,q10,q50,q90,lo,hi,q50_pct,lo_pct,hi_pct,model
10180,2026Q2,1,-0.004179668612778187,0.01398283988237381,0.03293618559837341,-0.03007530514150858,0.058831822127103806,1.408105703896223,-2.962754323815864,6.059685681708515,seqgru
10180,2026Q2,2,0.002055501565337181,0.028282880783081055,0.05672254413366318,-0.03105044923722744,0.0898284949362278,2.8686638948733467,-3.057333499344861,9.398664336599971,seqgru
10180,2026Q2,4,0.013139676302671432,0.05541602149605751,0.1030358374118805,-0.03926138789393008,0.155436901608482,5.698024972513194,-3.8500647993694903,16.816822420575672,seqgru
10180,2026Q2,8,0.037215352058410645,0.11450336128473282,0.20886141061782837,-0.06646859552711248,0.3125453582033515,12.13164101213582,-6.4307699681597,36.68999398931454,seqgru
10420,2026Q2,1,-0.006675473414361477,0.011503402143716812,0.030062656849622726,-0.03257110994309187,0.05595829337835312,1.1569820709653955,-3.2046383742608375,5.755357582996323,seqgru
10420,2026Q2,2,-0.0027109626680612564,0.023409245535731316,0.05087914317846298,-0.03581691347062588,0.0839850939810276,2.368539251139734,-3.518307770476403,8.76126817127294,seqgru
10420,2026Q2,4,0.004973798990249634,0.04633992165327072,0.09139718115329742,-0.047427265206351876,0.14379824534989893,4.743039472167432,-4.632016368386182,15.465112878885368,seqgru
10420,2026Q2,8,0.02886519581079483,0.10053586214780807,0.1864219307899475,-0.0748187517747283,0.29010587837547064,10.576329603979161,-7.208834657150886,33.65689942879329,seqgru
10500,2026Q2,1,-0.007666395045816898,0.010605519637465477,0.029103964567184448,-0.03356203157454729,0.05499960109591484,1.066195750202592,-3.3005074846879756,5.654019321721093,seqgru
10500,2026Q2,2,-0.004722878336906433,0.02151651121675968,0.04881390929222107,-0.037828829139471054,0.08191986009478569,2.174966052822702,-3.7122256601974657,8.536882498936006,seqgru
10500,2026Q2,4,0.0010948218405246735,0.04246395081281662,0.08698516339063644,-0.05130624235607684,0.13938622758723795,4.337844275092606,-5.001230049046668,14.95680091516478,seqgru
10500,2026Q2,8,0.021997801959514618,0.093117855489254,0.1778128445148468,-0.08168614562600851,0.28149679210036993,9.759108477995483,-7.843885069028323,32.51117454892254,seqgru
10540,2026Q2,1,-0.010042986832559109,0.00835952628403902,0.026635393500328064,-0.0359386233612895,0.052531030029058456,0.83945646906598,-3.5300498321116813,5.393526521305048,seqgru
10540,2026Q2,2,-0.009877700358629227,0.01662125624716282,0.043338876217603683,-0.04298365116119385,0.0764448270201683,1.6760157832609313,-4.207294906604442,7.944263262759299,seqgru
10540,2026Q2,4,-0.00956641510128975,0.03226564824581146,0.07557673752307892,-0.06196747929789126,0.12797780171968043,3.2791828204257634,-6.008654706051908,13.652777345493238,seqgru
10540,2026Q2,8,0.0044972822070121765,0.07638658583164215,0.15948981046676636,-0.09918666537851095,0.2631737580522895,7.937976643644151,-9.44263470030271,30.105276770710244,seqgru
10580,2026Q2,1,-0.00427345372736454,0.013912305235862732,0.03282112628221512,-0.030169090256094933,0.05871676281094551,1.400953171260677,-2.9718545462813717,6.047483228818429,seqgru
10580,2026Q2,2,0.0023336373269557953,0.028494304046034813,0.056878916919231415,-0.030772313475608826,0.08998486772179604,2.8904150227158754,-3.030366526898498,9.415772648082022,seqgru
10580,2026Q2,4,0.01443392038345337,0.056304581463336945,0.10358408093452454,-0.03796714381314814,0.15598514513112605,5.791985744832506,-3.725542751288591,16.880884045884592,seqgru
10580,2026Q2,8,0.04223060607910156,0.11735960096120834,0.20928969979286194,-0.061453341506421566,0.31297364737838507,12.45237368082237,-5.960317778509394,36.74854937249885,seqgru
10740,2026Q2,1,-0.007680167444050312,0.01058955118060112,0.029139764606952667,-0.033575803972780704,0.05503540113568306,1.064581891900751,-3.3018392594369783,5.657801807520668,seqgru
10740,2026Q2,2,-0.005302811041474342,0.02108738198876381,0.04848024994134903,-0.03840876184403896,0.08158620074391365,2.131129195031134,-3.768049900871162,8.500674194131385,seqgru
10740,2026Q2,4,-0.0011113621294498444,0.04089533910155296,0.08599363267421722,-0.053512426326051354,0.13839469687081873,4.174307007403888,-5.21058379113013,14.842874206245526,seqgru
10740,2026Q2,8,0.01488795131444931,0.08847349882125854,0.17523989081382751,-0.08879599627107382,0.27892383839935064,9.250529954861664,-8.496777547905,32.17066767400134,seqgru
10780,2026Q2,1,-0.006754451431334019,0.011457066051661968,0.030048169195652008,-0.03265008796006441,0.0559438057243824,1.1522949603242072,-3.2122827781002727,5.753825447068683,seqgru
10780,2026Q2,2,-0.00290607288479805,0.02327509969472885,0.0508626364171505,-0.03601202368736267,0.08396858721971512,2.354807858374919,-3.537130498045493,8.75947288979637,seqgru
10780,2026Q2,4,0.004583485424518585,0.04611033573746681,0.09146146476268768,-0.047817578772082925,0.1438625289592892,4.7189947058015935,-4.669232522676603,15.472535631678008,seqgru
10780,2026Q2,8,0.026739053428173065,0.09911487996578217,0.18599379062652588,-0.07694489415735006,0.289677738212049,10.419314194328134,-7.405912304709128,33.599687790203504,seqgru
