epoch,train_loss,val_loss
1,0.01275851092186448,0.007202924570784246
2,0.011384220425680384,0.006758685201185006
3,0.011278737973273993,0.006641900271500983
4,0.011263917975565542,0.0065970139037079475
5,0.011244649621302798,0.006592206515743761
6,0.011255464782891893,0.006622970612043878
7,0.011252418228909378,0.006660522563771981
8,0.011252946615097818,0.006568890971077674
9,0.011253421990385324,0.006631646418117736
10,0.011254524740652814,0.006546338999050488
11,0.011253066295477511,0.006661424939392884
12,0.011255222996000975,0.006675454523420052
13,0.01125680900852047,0.006593102279613249
14,0.011250685354566315,0.006547695012385502
15,0.011255620711038779,0.006598265966820735
