model,horizon,block,n,mae,rmse,relative_mae,pinball_10,pinball_50,pinball_90,coverage_raw,coverage,width,mae_pct
seqgru,1,cal,6560,0.012837008430882656,0.018258772948214975,0.5951340950421277,0.0027921438878065713,0.006418504215441328,0.004050533764070734,0.7696646341463415,0.9001524390243902,0.06276083803244457,1.3149309081424245
seqgru,1,test,7378,0.018958459209943254,0.025607256306214778,0.8351861382110921,0.0051630869188998285,0.009479229604971627,0.005362051169377812,0.5910815939278937,0.8034697750067769,0.06271829601747354,1.927788769949718
seqgru,2,cal,6560,0.020254846427277276,0.02991991858638878,0.5153701442080936,0.0041021251206327025,0.010127423213638638,0.0072696229055898625,0.7475609756097561,0.9001524390243902,0.10130133882900359,2.1271143549591005
seqgru,2,test,7378,0.024780811714401458,0.033027257956146285,0.6857111148074556,0.007020852738998003,0.012390405857200729,0.006020064292517911,0.6396042287882895,0.8819463269178639,0.10133018219307283,2.565504117943994
seqgru,4,cal,6560,0.029874687598327534,0.04635904925278771,0.43493958675974376,0.006485749665078446,0.014937343799163767,0.011511456934675195,0.7844512195121951,0.9001524390243902,0.1653736216595351,3.2519809922428773
seqgru,4,test,7378,0.03850704378561627,0.053315665066495106,0.5324241036685043,0.00951984502741612,0.019253521892808136,0.01145785885092573,0.686771482786663,0.8746272702629438,0.16737070111075644,4.202709614773481
seqgru,8,cal,6560,0.04043060051808869,0.05783369787196101,0.3460155204088568,0.010457718057401153,0.020215300259044344,0.011699680830378182,0.8609756097560975,0.9001524390243902,0.19620978109106968,4.598314662427079
seqgru,8,test,7378,0.08504022784414134,0.11174449339623607,0.5267563992161417,0.017467551235035,0.04252011392207067,0.029023542039730944,0.6051775548929249,0.6615613987530496,0.20698508244451144,10.1350940373358
