model,horizon,block,n,mae,rmse,relative_mae,pinball_10,pinball_50,pinball_90,coverage_raw,coverage,width,mae_pct
metro_mean,1,train,56663,0.017689854000070875,0.028451790985330395,0.9272915310730415,0.005013316499009525,0.008844927000035438,0.004677133667558711,0.7972398214002082,0.9179888110407144,0.08426490566460201,1.785710262956151
metro_mean,1,cal,6560,0.015563001248343469,0.022017573507827626,0.7215133273503012,0.004088709789273642,0.0077815006241717345,0.004885237152082331,0.780030487804878,0.9001524390243902,0.084264905664602,1.5914013146091095
metro_mean,1,test,7378,0.019912194830648676,0.026907870968978436,0.8772015132769777,0.004476096504978217,0.009956097415324338,0.005956137414055103,0.7049335863377609,0.877744646245595,0.08426490566460203,2.02464502451641
metro_mean,2,train,56208,0.026599707270047727,0.04111367684967214,0.8816262982984331,0.007609214255976296,0.013299853635023864,0.006762940217591197,0.7976622544833476,0.9410582123541132,0.14913220991307877,2.711069433876013
metro_mean,2,cal,6560,0.025843760820032605,0.037804228467541896,0.6575760912241466,0.0068311679257378,0.012921880410016302,0.009399655592658181,0.7484756097560976,0.9001524390243902,0.14913220991307877,2.7009092705175344
metro_mean,2,test,7377,0.028058782198064836,0.037454236959066425,0.7765389162088289,0.006412646947608405,0.014029391099032418,0.008804541230085667,0.7264470652026569,0.9179883421445032,0.14913220991307874,2.9028464148602944
metro_mean,4,train,55318,0.04582587635645641,0.06879899504562363,0.8665708796022167,0.012976190055525968,0.022912938178228204,0.011403431921972174,0.7973354061968979,0.9269134820492425,0.2357427927057363,4.773249571295049
metro_mean,4,cal,6560,0.03930247619818517,0.05703611926754945,0.572196870816845,0.011822280576161893,0.019651238099092586,0.01327536775749415,0.7772865853658537,0.9001524390243902,0.2357427927057363,4.2389140546703805
metro_mean,4,test,7375,0.04741464770342562,0.06655251007510463,0.6555861842906556,0.011591263143383912,0.02370732385171281,0.017378671957819225,0.7269152542372881,0.8675254237288136,0.2357427927057363,5.130919857635309
metro_mean,8,train,53561,0.0865249996699643,0.12784831772349356,0.8788270612226523,0.024446952385534307,0.04326249983498215,0.02094289472077122,0.7974272325012602,0.8549130897481376,0.3234674570347905,9.43954212538454
metro_mean,8,cal,6560,0.058172976944354374,0.0765258383420932,0.49785935971838147,0.021391102592729513,0.029086488472177187,0.013316987439744004,0.8280487804878048,0.9001524390243902,0.3234674570347906,6.536688590472625
metro_mean,8,test,7371,0.10115322683552816,0.13083419934079596,0.6266395690778613,0.024910294804740128,0.05057661341776408,0.036213156690558336,0.6114502781169447,0.6857956857956858,0.3234674570347906,11.819074815598887
