model,horizon,block,n,mae,rmse,relative_mae,pinball_10,pinball_50,pinball_90,coverage_raw,coverage,width,mae_pct
windowmlp,1,cal,6560,0.016410199982246146,0.021824515781533205,0.7607901458099209,0.0033083098964948477,0.008205099991123073,0.004928487596173787,0.6780487804878049,0.9001524390243902,0.07221788831464038,1.675644262818273
windowmlp,1,test,7378,0.02141206100609485,0.027802232919685154,0.9432758403405187,0.004788096824598043,0.010706030503047425,0.00696977157451635,0.5349688262401735,0.8240715641095148,0.07249014637644806,2.1731147132235145
windowmlp,2,cal,6560,0.02878937908821305,0.0389187904069886,0.7325252504690699,0.005311332022211102,0.014394689544106524,0.010761902526643965,0.5888719512195122,0.9001524390243902,0.13143232600698135,2.9965026108888853
windowmlp,2,test,7378,0.031504771235304374,0.0384300995357111,0.8717701443556694,0.007059456081152573,0.015752385617652187,0.009852004720986626,0.452561669829222,0.9240986717267552,0.13147157418114197,3.239091980311846
windowmlp,4,cal,6560,0.052369919675464456,0.07012973548575187,0.7624431601943394,0.00906113961671242,0.026184959837732228,0.021372297222585143,0.5367378048780488,0.9001524390243902,0.24166251120509624,5.566217758249473
windowmlp,4,test,7378,0.06237168765419626,0.07430110460658333,0.8623926074008772,0.010976653171923402,0.03118584382709813,0.026023578470131144,0.31092436974789917,0.9189482244510707,0.24214001635620186,6.583855672773084
windowmlp,8,cal,6560,0.0853521620753715,0.10944045024044421,0.7304658451787673,0.01517566642886045,0.04267608103768575,0.03042961947488371,0.5507621951219512,0.9001524390243902,0.35555770003361764,9.326399708240846
windowmlp,8,test,7378,0.1401498980864312,0.1692482825663558,0.8681168611380163,0.021386709895015604,0.0700749490432156,0.07242261438386219,0.3023854703171591,0.683654106804012,0.35953827985550013,15.618887688054153
