model,horizon,block,n,mae,rmse,relative_mae,pinball_10,pinball_50,pinball_90,coverage_raw,coverage,width,mae_pct
ridge,1,train,56663,0.014492136231163877,0.023569228721112206,0.7596690845645876,0.004047512930850346,0.007246068115581939,0.004010098559443404,0.7999752925189277,0.8546317702910188,0.05172672661121357,1.4624848066320375
ridge,1,cal,6560,0.010969285465924489,0.015830345387759546,0.5085449476537758,0.0026819826279357497,0.005484642732962244,0.0032619234183199463,0.8589939024390244,0.9001524390243902,0.05172672661121357,1.1239010414853952
ridge,1,test,7378,0.017882539489077788,0.024235502864040644,0.787788128554753,0.00496393957763742,0.008941269744538894,0.004239518736505812,0.6837896448902141,0.7599620493358634,0.05172672661121357,1.818406125732782
ridge,2,train,56242,0.02022446468808161,0.03182915890727935,0.6696228086806736,0.005655225643584978,0.010112232344040805,0.005537340400829512,0.799971551509548,0.9134988087194623,0.09792422093660738,2.061017971082898
ridge,2,cal,6560,0.019406153326789986,0.02864065567603951,0.49377575265421175,0.004259124519376555,0.009703076663394993,0.006620839670317325,0.7977134146341464,0.9001524390243902,0.09792422093660737,2.038714733538344
ridge,2,test,7378,0.023881185926539466,0.03257460077116919,0.6608175234312991,0.006882531492785315,0.011940592963269733,0.005359411686371372,0.7213336947682298,0.8788289509352128,0.09792422093660738,2.4721852892746194
ridge,4,train,55406,0.03039522803138598,0.0468495350885573,0.5741747713561991,0.008382206604896,0.01519761401569299,0.008530678553719232,0.7999855611305635,0.9228422914485795,0.15882466892031638,3.167037951730153
ridge,4,cal,6560,0.028424040229761652,0.043943375188922294,0.41381990268065466,0.006396140405581937,0.014212020114880826,0.01086796422251828,0.7987804878048781,0.9001524390243902,0.1588246689203164,3.098865735248137
ridge,4,test,7378,0.04084302108504663,0.056869199154463396,0.564722885637078,0.011841495366567565,0.020421510542523315,0.010556409621754703,0.6668473841149363,0.8560585524532394,0.15882466892031644,4.473897574885131
ridge,8,train,53771,0.056915076105251164,0.08668585442725088,0.5779673256349559,0.015396013340473984,0.028457538052625582,0.016425364016615446,0.8000037194770415,0.8345948559632516,0.19608259112587137,6.18713815005673
ridge,8,cal,6560,0.04123823227676502,0.05886733718322693,0.35292744149688254,0.010784982682563117,0.02061911613838251,0.0117293003116103,0.8717987804878049,0.9001524390243902,0.19608259112587145,4.688508761554786
ridge,8,test,7378,0.08732339186891647,0.11611766117626882,0.5408987796284981,0.01953028006467797,0.04366169593445823,0.0284440402586901,0.5974518839793982,0.6427216047709406,0.19608259112587142,10.408666538136126
