vintage,cbsa_code,county_fips
2014,10100,46013
2014,10100,46045
2014,10140,53027
2014,10180,48059
2014,10180,48253
2014,10180,48441
2014,10220,40123
2014,10260,72001
2014,10300,26091
2014,10380,72003
2014,10380,72005
2014,10380,72011
2014,10380,72071
2014,10380,72081
2014,10380,72099
2014,10380,72117
2014,10380,72131
2014,10380,72141
2014,10420,39133
2014,10420,39153
2014,10460,35035
2014,10500,13007
2014,10500,13095
2014,10500,13177
2014,10500,13273
2014,10500,13321
2014,10540,41043
2014,10580,36001
2014,10580,36083
2014,10580,36091
2014,10580,36093
2014,10580,36095
2014,10620,37167
2014,10660,27047
2014,10700,01095
2014,10740,35001
2014,10740,35043
2014,10740,35057
2014,10740,35061
2014,10780,22043
2014,10780,22079
2014,10820,27041
2014,10860,48249
2014,10900,34041
2014,10900,42025
2014,10900,42077
2014,10900,42095
2014,10940,26057
2014,10980,26007
2014,11020,42013
2014,11060,40065
2014,11100,48011
2014,11100,48065
2014,11100,48359
2014,11100,48375
2014,11100,48381
2014,11140,13249
2014,11140,13261
2014,11180,19169
2014,11220,36057
2014,11244,06059
2014,11260,02020
2014,11260,02170
2014,11380,48003
2014,11420,18151
2014,11460,26161
2014,11500,01015
2014,11540,55015
2014,11540,55087
2014,11580,12027
2014,11620,40019
2014,11640,72013
2014,11640,72027
2014,11640,72065
2014,11640,72115
2014,11660,05019
2014,11680,20035
2014,11700,37021
2014,11700,37087
2014,11700,37089
2014,11700,37115
2014,11740,39005
2014,11780,39007
2014,11820,41007
2014,11860,20005
2014,11900,39009
2014,11940,47107
2014,11980,48213
2014,12020,13059
2014,12020,13195
2014,12020,13219
2014,12020,13221
2014,12060,13013
2014,12060,13015
2014,12060,13035
2014,12060,13045
2014,12060,13057
2014,12060,13063
2014,12060,13067
2014,12060,13077
2014,12060,13085
2014,12060,13089
2014,12060,13097
2014,12060,13113
2014,12060,13117
2014,12060,13121
2014,12060,13135
2014,12060,13143
2014,12060,13149
2014,12060,13151
2014,12060,13159
2014,12060,13171
2014,12060,13199
2014,12060,13211
2014,12060,13217
2014,12060,13223
2014,12060,13227
2014,12060,13231
2014,12060,13247
2014,12060,13255
2014,12060,13297
2014,12100,34001
2014,12140,18033
2014,12180,36011
2014,12220,01081
2014,12260,13033
2014,12260,13073
2014,12260,13181
2014,12260,13189
2014,12260,13245
2014,12260,45003
2014,12260,45037
2014,12300,23011
2014,12380,27099
2014,12420,48021
2014,12420,48055
2014,12420,48209
2014,12420,48453
2014,12420,48491
2014,12460,13087
2014,12540,06029
2014,12580,24003
2014,12580,24005
2014,12580,24013
2014,12580,24025
2014,12580,24027
2014,12580,24035
2014,12580,24510
2014,12620,23019
2014,12660,55111
2014,12680,21179
2014,12700,25001
2014,12740,50023
2014,12780,40147
2014,12820,22067
2014,12860,36037
2014,12900,05063
2014,12940,22005
2014,12940,22033
2014,12940,22037
2014,12940,22047
2014,12940,22063
2014,12940,22077
2014,12940,22091
