vintage,county_fips,population
2014,29035,6283.0
2014,29057,7678.0
2014,29115,12494.0
2014,29091,40469.0
2014,29101,53879.0
2014,29105,35544.0
2014,29125,9098.0
2014,29161,45091.0
2014,29165,92149.0
2014,29187,65813.0
2014,29510,318727.0
2014,34001,275325.0
2014,29003,17373.0
2014,29023,42957.0
2014,29033,9157.0
2014,29061,8324.0
2014,29087,4695.0
2014,29127,28844.0
2014,29151,13812.0
2014,29181,14056.0
2014,29219,32847.0
2014,29221,25113.0
2014,29043,79856.0
2014,29063,12824.0
2014,29081,8795.0
2014,29107,33069.0
2014,29001,25642.0
2014,29199,4862.0
2014,29211,6551.0
2014,29045,7001.0
2014,29097,116996.0
2014,29111,10176.0
2014,29119,22851.0
2014,29157,19042.0
2014,29167,31122.0
2014,29177,23166.0
2014,30041,16434.0
2014,30015,5859.0
2014,30099,6075.0
2014,30103,761.0
2014,30005,6576.0
2014,30097,3622.0
2014,30079,1282.0
2014,30035,13641.0
2014,30025,3028.0
2014,30037,738.0
2014,30093,34462.0
2014,30095,9214.0
2014,30043,11465.0
2014,30039,3133.0
2014,30107,2126.0
2014,30057,7723.0
2014,30091,3510.0
2014,30011,1205.0
2014,30003,13079.0
2014,30047,28987.0
2014,30049,64772.0
2014,41015,22341.0
2014,41021,1926.0
2014,41027,22620.0
2014,41037,7854.0
2014,41051,757371.0
2014,42103,56883.0
2014,42109,39922.0
2014,42115,42708.0
2014,42039,87801.0
2014,42049,280132.0
2014,42057,14747.0
2014,42067,24793.0
2014,42107,147146.0
2014,42131,28229.0
2014,42001,101566.0
2014,42005,68343.0
2014,42035,39611.0
2014,42025,64874.0
2014,42027,156240.0
2014,42097,94294.0
2014,42095,299225.0
2014,42121,54265.0
2014,30053,19455.0
2014,30067,15642.0
2014,42007,170124.0
2014,42069,214023.0
2014,42083,43024.0
2014,42051,135376.0
2014,42091,809372.0
2014,42033,81472.0
2014,42075,135184.0
2014,42081,116676.0
2014,42093,18475.0
2014,42123,41218.0
2014,42019,185034.0
2014,42047,31584.0
2014,42071,526839.0
2014,42085,115739.0
2014,42105,17451.0
2014,45005,10027.0
2014,44007,629280.0
2014,44001,49338.0
2014,45003,162991.0
2014,45037,26573.0
2014,45023,32708.0
2014,45029,38247.0
2014,45067,32411.0
2014,45063,270263.0
2014,45073,74656.0
2014,45015,188835.0
2014,45019,365674.0
2014,45043,60389.0
2014,45069,28294.0
2014,45007,189763.0
2014,45025,46333.0
2014,45047,69708.0
2014,45051,283280.0
2014,45055,62342.0
2014,45075,91262.0
2014,45083,288728.0
2014,45009,15649.0
2014,45013,168453.0
2014,45017,15031.0
2014,45033,31529.0
2014,45081,19973.0
2014,45079,393707.0
2014,45039,23382.0
2014,45049,20670.0
2014,45045,467087.0
2014,45057,79515.0
2014,45035,142772.0
2014,45041,138058.0
2014,45059,66390.0
2014,45065,10003.0
2014,45077,119577.0
2014,45087,28329.0
2014,45089,33560.0
2014,46003,2729.0
2014,46051,7281.0
2014,46123,5549.0
2014,46113,14005.0
2014,46137,2837.0
2014,46115,6552.0
2014,46015,5311.0
2014,42117,42358.0
2014,44005,82772.0
2014,46011,32647.0
2014,46053,4235.0
2014,46057,5949.0
2014,46099,176014.0
2014,46033,8358.0
2014,46025,3631.0
2014,46049,2371.0
2014,46077,5141.0
2014,46129,5498.0
2014,28061,16687.0
2014,28009,8573.0
2014,28037,7944.0
2014,28027,25527.0
2014,28067,68273.0
2014,28147,15126.0
2014,28095,36383.0
2014,28115,30374.0
2014,28051,18965.0
2014,28005,12957.0
2014,28089,98622.0
2014,28013,14841.0
2014,28091,26449.0
2014,28141,19532.0
2014,28153,20611.0
2014,28041,14308.0
2014,28093,36636.0
2014,28119,7902.0
2014,28109,55293.0
2014,28079,23368.0
2014,28099,29596.0
2014,28121,145483.0
2014,28151,50038.0
2014,28077,12636.0
2014,28111,12173.0
2014,28017,17376.0
2014,28015,10418.0
2014,28039,22960.0
2014,28043,21660.0
2014,28063,7634.0
2014,28101,21671.0
2014,28117,25338.0
2014,28125,4898.0
2014,28019,8399.0
2014,28045,45136.0
2014,28057,23415.0
2014,28055,1279.0
2014,28059,140194.0
2014,28083,31772.0
2014,28143,10583.0
2014,28021,9396.0
2014,28047,193642.0
2014,28075,80261.0
2014,28085,34824.0
2014,28127,27425.0
2014,28159,18882.0
2014,28007,19303.0
2014,28073,58038.0
2014,28081,84588.0
2014,28135,15124.0
2014,28129,16344.0
2014,28149,48291.0
2014,28023,16509.0
2014,28097,10634.0
2014,28105,48639.0
2014,42043,269946.0
2014,28025,20414.0
2014,28031,19495.0
2014,28053,9106.0
2014,42055,151517.0
2014,42119,44955.0
2014,42127,51967.0
2014,42009,49332.0
2014,42089,168342.0
2014,42061,45950.0
2014,42125,208157.0
2014,42101,1546920.0
2014,42133,438052.0
2014,42063,88301.0
2014,42041,239420.0
2014,42003,1229172.0
2014,42129,362587.0
2014,42053,7649.0
2014,42013,126708.0
2014,42073,89859.0
2014,42015,62510.0
2014,42021,140835.0
2014,42029,506422.0
2014,42011,413016.0
2014,42087,46705.0
2014,29129,3735.0
2014,29229,18565.0
2014,29047,227984.0
2014,29065,15681.0
2014,29195,23363.0
2014,29227,2102.0
2014,29079,10279.0
2014,29141,20314.0
2014,29179,6644.0
2014,29189,1000423.0
2014,29209,31593.0
2014,29009,35681.0
2014,29019,168268.0
2014,29051,76426.0
2014,29055,24680.0
2014,29093,10424.0
2014,29117,15034.0
2014,28155,10077.0
2014,28003,37279.0
2014,29135,15719.0
2014,29155,18010.0
2014,29159,42213.0
2014,29203,8360.0
2014,29175,25207.0
2014,29069,31778.0
2014,29071,101682.0
2014,29089,10183.0
2014,29095,678167.0
2014,29131,24905.0
2014,29171,4911.0
2014,29213,53086.0
2014,29021,89536.0
2014,29025,9176.0
2014,29137,8725.0
2014,29059,16632.0
2014,29085,9420.0
2014,29113,53458.0
2014,29145,58683.0
2014,29163,18573.0
2014,29183,369781.0
2014,29031,77031.0
2014,30073,6211.0
2014,30111,151965.0
2014,30063,111011.0
2014,30081,40640.0
2014,30105,7518.0
2014,30013,81953.0
2014,30027,11496.0
2014,30033,1097.0
2014,30061,4230.0
2014,30069,489.0
2014,30077,7010.0
2014,30089,11373.0
2014,30109,987.0
2014,30031,93108.0
2014,30059,2026.0
2014,30009,10189.0
2014,30001,9294.0
2014,30029,92373.0
2014,30065,4760.0
2014,31083,3462.0
2014,31185,13797.0
2014,31019,47388.0
2014,31037,10512.0
2014,31087,2884.0
2014,31141,32485.0
2014,31143,5307.0
2014,31013,11308.0
2014,31017,3090.0
2014,31161,5342.0
2014,31109,293726.0
2014,31129,4431.0
2014,31007,788.0
2014,31063,2540.0
2014,31055,531057.0
2014,31147,8237.0
2014,29037,100339.0
2014,29049,20545.0
2014,31089,10432.0
2014,31065,4908.0
2014,31151,14317.0
2014,31173,6934.0
2014,31177,20264.0
2014,31031,5749.0
2014,31053,36742.0
2014,31069,1939.0
2014,31123,4918.0
2014,31127,7214.0
2014,31171,747.0
2014,31043,20902.0
2014,31003,6531.0
2014,31029,3990.0
2014,21191,14642.0
2014,21201,2239.0
2014,21207,17646.0
2014,21215,17419.0
2014,21229,11871.0
2014,21011,11870.0
2014,21087,11186.0
2014,21007,8274.0
2014,21009,42691.0
2014,21021,29150.0
2014,21091,8654.0
2014,21095,28744.0
2014,21159,12750.0
2014,21093,107565.0
2014,21137,24546.0
2014,21149,9510.0
2014,21171,10837.0
2014,21183,23956.0
2014,21197,12552.0
2014,21233,13454.0
2014,21033,12880.0
2014,21045,16002.0
2014,21047,74459.0
2014,21085,25934.0
2014,21103,15427.0
2014,21107,46684.0
2014,21125,59535.0
2014,21157,31223.0
2014,21173,26983.0
2014,21181,7064.0
2014,21187,10740.0
2014,21209,49167.0
2014,21227,117169.0
2014,21017,19972.0
2014,21019,49242.0
2014,21055,9254.0
2014,21067,304473.0
2014,21115,23390.0
2014,21165,6337.0
2014,21175,13522.0
2014,21193,28261.0
2014,21199,63505.0
2014,21051,21446.0
2014,21001,19032.0
2014,21025,13663.0
2014,21083,37451.0
2014,21099,18427.0
2014,21031,12797.0
2014,21223,8816.0
2014,21097,18643.0
2014,21105,4790.0
2014,21143,8415.0
2014,21231,20728.0
2014,21135,13848.0
2014,21221,14277.0
2014,21239,25151.0
2014,21131,11128.0
2014,21113,49601.0
2014,21127,15850.0
2014,21139,9443.0
2014,21145,65545.0
2014,21211,43581.0
2014,21235,35557.0
2014,20115,12401.0
2014,20013,9926.0
2014,20161,74478.0
2014,20041,19641.0
2014,21079,16880.0
2014,21037,91268.0
2014,21081,24667.0
2014,21141,26844.0
2014,21167,21311.0
2014,21225,15192.0
2014,21035,37981.0
2014,21059,97631.0
2014,21101,46394.0
2014,21109,13370.0
2014,21163,29203.0
2014,21185,61711.0
2014,21005,21664.0
2014,21027,20076.0
2014,21071,39087.0
2014,21075,6550.0
2014,21203,16965.0
2014,21003,20219.0
2014,21029,76093.0
2014,21119,16139.0
2014,21177,31391.0
2014,21237,7273.0
2014,21013,28234.0
2014,21057,6829.0
2014,21129,7681.0
2014,21061,12137.0
2014,21023,8459.0
2014,21179,44254.0
2014,21155,19965.0
2014,21015,123030.0
2014,21121,31857.0
2014,21133,23965.0
2014,21195,64380.0
2014,21077,8554.0
2014,22115,52844.0
2014,22085,24286.0
2014,22053,31492.0
2014,22125,15485.0
2014,22013,14122.0
2014,22023,6713.0
2014,22075,23545.0
2014,22117,46723.0
2014,22001,62031.0
2014,22103,239814.0
2014,22017,255529.0
2014,22005,112308.0
2014,22045,73735.0
2014,22091,10937.0
2014,22031,26968.0
2014,22063,132160.0
2014,22069,39359.0
2014,22025,10273.0
2014,22041,20645.0
2014,22049,16199.0
2014,22089,52616.0
2014,22107,5008.0
2014,23017,57517.0
2014,24001,73976.0
2014,24003,550269.0
2014,24009,89793.0
2014,24031,1005087.0
2014,24037,108472.0
2014,24019,32614.0
2014,24015,101803.0
2014,25001,215167.0
2014,25003,130064.0
2014,25023,500772.0
2014,25021,682860.0
2014,25019,10414.0
2014,26115,150851.0
2014,26059,46282.0
2014,26127,26325.0
2014,26035,30786.0
2014,21151,85485.0
2014,21073,49509.0
2014,21117,161915.0
2014,21147,18073.0
2014,21153,13076.0
2014,21169,10025.0
2014,21189,4686.0
2014,21205,23485.0
2014,21213,17551.0
2014,21217,25059.0
2014,21049,35633.0
2014,21219,12499.0
2014,21039,5031.0
2014,21041,10871.0
2014,21053,10192.0
2014,21065,14547.0
2014,22083,20845.0
2014,22099,52823.0
2014,22127,15000.0
2014,22033,443598.0
2014,22003,25691.0
2014,22065,12008.0
2014,22093,21782.0
2014,22043,22363.0
2014,22051,434528.0
2014,22011,36109.0
2014,22015,121918.0
2014,22037,19964.0
2014,22095,44570.0
2014,22073,155285.0
2014,22079,132199.0
2014,22097,83518.0
2014,22105,124125.0
2014,22101,53784.0
2014,22123,11522.0
2014,22111,22623.0
2014,22021,10008.0
2014,22035,7602.0
2014,22055,228084.0
2014,22039,33778.0
2014,22061,47243.0
2014,22087,41114.0
2014,22119,40890.0
2014,22121,24347.0
2014,22047,33375.0
2014,22081,8937.0
2014,22067,27319.0
2014,22071,368471.0
2014,22109,112167.0
2014,22019,194943.0
2014,22027,16817.0
2014,22009,41604.0
2014,22007,23170.0
2014,22077,22631.0
2014,22113,58784.0
2014,22057,97235.0
2014,22029,20609.0
2014,22059,14874.0
2014,26111,83620.0
2014,26083,2197.0
2014,26139,269795.0
2014,26007,29242.0
2014,26129,21373.0
2014,26039,13941.0
2014,26057,42057.0
2014,26091,99257.0
2014,26097,11080.0
2014,26061,36739.0
2014,26085,11431.0
2014,26141,13128.0
2014,26077,254870.0
2014,26123,48126.0
2014,26025,135150.0
2014,26081,615381.0
2014,26145,197727.0
2014,26017,107074.0
2014,26041,36841.0
2014,27071,13138.0
2014,27097,33054.0
2014,27147,36472.0
2014,27001,15964.0
2014,27101,8586.0
2014,27067,42316.0
2014,27133,9587.0
2014,27155,3455.0
2014,27053,1184091.0
2014,27023,12235.0
2014,27029,8735.0
2014,27059,38190.0
2014,27099,39312.0
2014,27109,147431.0
2014,01115,85242.0
2014,01003,191205.0
2014,01069,103079.0
2014,01125,198670.0
2014,01031,50726.0
2014,01109,33216.0
2014,27041,36413.0
2014,27079,27717.0
2014,27025,53798.0
2014,27153,24588.0
2014,27055,18859.0
2014,27111,57417.0
2014,27137,200563.0
2014,27037,405521.0
2014,27089,9447.0
2014,27163,244103.0
2014,27065,16084.0
2014,01017,34091.0
2014,01101,228850.0
2014,01067,17270.0
2014,01123,41295.0
2014,02016,5650.0
2014,02188,7672.0
2014,02185,9618.0
2014,02090,99319.0
2014,02180,9792.0
2014,02122,56687.0
2014,02282,635.0
2014,02240,7044.0
2014,02013,3296.0
2014,02198,6356.0
2014,04019,993144.0
2014,04009,37311.0
2014,04012,20348.0
2014,04001,72142.0
2014,04027,201453.0
2014,04021,390160.0
2014,05021,15577.0
2014,05043,18705.0
2014,05125,111811.0
2014,05009,37169.0
2014,05041,12602.0
2014,05051,96804.0
2014,05115,62687.0
2014,05147,7094.0
2014,05067,17746.0
2014,05137,12531.0
2014,05005,41154.0
2014,05055,42970.0
2014,05107,20847.0
2014,05149,21934.0
2014,05019,22800.0
2014,05095,7855.0
2014,05103,25421.0
2014,05001,18861.0
2014,05015,27626.0
2014,05119,388752.0
2014,06033,64209.0
2014,06049,9335.0
2014,06027,18439.0
2014,06083,431555.0
2014,06025,177026.0
2014,06001,1559308.0
2014,06055,139253.0
2014,06075,829072.0
2014,06011,21424.0
2014,06031,151390.0
2014,06019,948844.0
2014,06059,3086331.0
2014,06101,95067.0
2014,06077,701050.0
2014,08007,12132.0
2014,08055,6550.0
2014,08015,18121.0
2014,08045,56684.0
2014,08079,704.0
2014,08115,2365.0
2014,08027,4274.0
2014,08001,461558.0
2014,08065,7311.0
2014,08097,17303.0
2014,08017,2153.0
2014,08033,1736.0
2014,08069,311435.0
2014,08113,7597.0
2014,08029,30378.0
2014,08039,23545.0
2014,08125,10131.0
2014,08117,28482.0
2014,09015,117918.0
2014,09007,165534.0
2014,12133,24660.0
2014,12009,548891.0
2014,12069,305010.0
2014,12105,617323.0
2014,12043,13190.0
2014,12063,49105.0
2014,12117,432135.0
2014,12005,172988.0
2014,12045,15781.0
2014,12097,289449.0
2014,12131,57821.0
2014,12065,14335.0
2014,12049,27549.0
2014,12095,1200241.0
2014,12041,16948.0
2014,12001,251759.0
2014,12015,163151.0
2014,12085,149658.0
2014,12115,386944.0
2014,12017,139771.0
2014,12113,158240.0
2014,12011,1815269.0
2014,12087,75208.0
2014,13291,21553.0
2014,13311,27594.0
2014,13223,145565.0
2014,13245,201244.0
2014,13019,19091.0
2014,13013,70873.0
2014,13065,6777.0
2014,13131,25239.0
2014,13313,103132.0
2014,13193,14232.0
2014,13145,32539.0
2014,13321,21365.0
2014,13093,14443.0
2014,13307,2744.0
2014,13125,3086.0
2014,13051,275303.0
2014,13167,9850.0
2014,13195,28142.0
2014,13277,40721.0
2014,13263,6594.0
2014,13273,9304.0
2014,13319,9455.0
2014,13243,7411.0
2014,13299,35915.0
2014,13315,9061.0
2014,13155,9482.0
2014,13005,11196.0
2014,13033,23136.0
2014,13053,11846.0
2014,13087,27508.0
2014,13137,43342.0
2014,13029,32185.0
2014,13191,14172.0
2014,13207,26788.0
2014,13265,1700.0
2014,13039,51193.0
2014,13079,12536.0
2014,13069,42947.0
2014,13123,28441.0
2014,13297,85378.0
2014,13091,21365.0
2014,13057,221951.0
2014,13177,28805.0
2014,13227,29550.0
2014,13075,17061.0
2014,13121,967100.0
2014,15001,189382.0
2014,15007,68745.0
2014,16031,23275.0
2014,16063,5246.0
2014,16041,12853.0
2014,16027,195353.0
2014,16057,37989.0
2014,16009,9149.0
2014,16033,823.0
2014,16043,13024.0
2014,16049,16315.0
2014,16077,7742.0
2014,17119,267937.0
2014,17131,16204.0
2014,17167,198808.0
2014,17157,33091.0
2014,17141,52782.0
2014,17177,47053.0
2014,17193,14549.0
2014,17071,7074.0
2014,17113,172390.0
2014,17149,16244.0
2014,17161,146964.0
2014,17185,11730.0
2014,17035,10950.0
2014,17089,521874.0
2014,17009,6878.0
2014,17123,12319.0
2014,17021,34415.0
2014,17077,60125.0
2014,17181,17620.0
2014,17165,24876.0
2014,17195,57680.0
2014,17037,104919.0
2014,17079,9658.0
2014,17197,682108.0
2014,17041,19867.0
2014,17061,13677.0
2014,17069,4226.0
2014,17095,52447.0
2014,17127,15148.0
2014,17179,135872.0
2014,18061,39216.0
2014,18169,32492.0
2014,18075,21279.0
2014,23021,17271.0
2014,23015,34237.0
2014,23027,38904.0
2014,23019,153627.0
2014,23001,107470.0
2014,23003,70653.0
2014,23029,32397.0
2014,23005,284351.0
2014,23013,39653.0
2014,23023,35102.0
2014,23031,198934.0
2014,23011,121507.0
2014,23007,30569.0
2014,23025,51762.0
2014,23009,54581.0
2014,24047,51558.0
2014,24510,622271.0
2014,24039,26197.0
2014,24041,37894.0
2014,24025,248029.0
2014,24027,299269.0
2014,24033,884764.0
2014,24005,817720.0
2014,24021,239253.0
2014,24023,29945.0
2014,24029,20016.0
2014,24013,167399.0
2014,24035,48439.0
2014,24017,150960.0
2014,24043,148913.0
2014,24045,100376.0
2014,24011,32759.0
2014,25025,747928.0
2014,25007,16915.0
2014,25017,1539832.0
2014,25005,551065.0
2014,25013,466447.0
2014,25009,757395.0
2014,25011,71300.0
2014,25027,806804.0
2014,25015,160328.0
2014,26033,38698.0
2014,26005,112266.0
2014,26125,1220798.0
2014,26003,9516.0
2014,26121,171328.0
2014,26089,21739.0
2014,26087,88155.0
2014,26151,42301.0
2014,26073,70506.0
2014,26131,6448.0
2014,26157,54795.0
2014,26001,10657.0
2014,26067,63976.0
2014,26079,17204.0
2014,26021,155992.0
2014,26135,8525.0
2014,26165,32699.0
2014,26037,76479.0
2014,18057,289722.0
2014,18127,165819.0
2014,18147,20893.0
2014,18157,178135.0
2014,18087,37759.0
2014,18011,59246.0
2014,18107,38183.0
2014,18019,112212.0
2014,18021,26797.0
2014,18047,22980.0
2014,18071,43127.0
2014,18129,25641.0
2014,18165,15952.0
2014,18003,360990.0
2014,18043,75431.0
2014,18081,143789.0
2014,18051,33586.0
2014,18117,19756.0
2014,18099,47032.0
2014,18009,12576.0
2014,18143,23897.0
2014,18039,199544.0
2014,18017,38730.0
2014,18177,68360.0
2014,19023,14966.0
2014,19079,15363.0
2014,19175,12554.0
2014,19195,7567.0
2014,19001,7543.0
2014,19037,12329.0
2014,19059,16877.0
2014,19107,10361.0
2014,19171,17568.0
2014,19069,10572.0
2014,19031,18434.0
2014,19067,16153.0
2014,19115,11305.0
2014,19091,9731.0
2014,19183,21906.0
2014,19035,11982.0
2014,19057,40265.0
2014,19109,15347.0
2014,19139,42857.0
2014,19153,445136.0
2014,19193,102372.0
2014,19097,19656.0
2014,19111,35552.0
2014,19181,47058.0
2014,19149,24899.0
2014,19041,16555.0
2014,19055,17578.0
2014,19185,6385.0
2014,19163,168714.0
2014,20181,6078.0
2014,20193,7947.0
2014,20127,5808.0
2014,20163,5174.0
2014,20025,2170.0
2014,20077,5906.0
2014,20111,33510.0
2014,20145,6959.0
2014,26043,26097.0
2014,26063,32525.0
2014,26065,282562.0
2014,20033,1911.0
2014,20063,2786.0
2014,20079,34797.0
2014,20089,3060.0
2014,20093,3950.0
2014,20159,10050.0
2014,20185,4363.0
