cbsa_code,name,cbsa_type,land_sqmi,lat,lon
10180,"Abilene, TX Metro Area",1,2743.515,32.452022,-99.718743
10300,"Adrian, MI Micro Area",2,749.638,41.896022,-84.074356
10380,"Aguadilla, PR Metro Area",1,297.061,18.391555,-67.097202
10420,"Akron, OH Metro Area",1,900.209,41.146639,-81.35011
10540,"Albany, OR Metro Area",1,2289.508,44.488898,-122.537208
10580,"Albany-Schenectady-Troy, NY Metro Area",1,2811.805,42.78792,-73.942348
10620,"Albemarle, NC Micro Area",2,395.08,35.310449,-80.254374
10700,"Albertville, AL Micro Area",2,565.854,34.309564,-86.321668
10740,"Albuquerque, NM Metro Area",1,9283.369,35.123496,-106.458392
10760,"Alexander City, AL Micro Area",2,716.531,32.863308,-85.799618
10860,"Alice, TX Micro Area",2,1808.531,27.359741,-98.157214
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",1,1453.019,40.789339,-75.398158
10940,"Alma, MI Micro Area",2,568.383,43.292326,-84.60469
11020,"Altoona, PA Metro Area",1,525.067,40.498683,-78.309597
11100,"Amarillo, TX Metro Area",1,5150.984,35.247999,-101.90867
11180,"Ames, IA Metro Area",1,1143.005,42.036128,-93.698008
11200,"Amherst Town-Northampton, MA Metro Area",1,527.236,42.339459,-72.663694
11220,"Amsterdam, NY Micro Area",2,403.111,42.900891,-74.435357
11360,"Anderson Creek, NC Micro Area",2,595.099,35.36866,-78.871665
11380,"Andrews, TX Micro Area",2,1500.686,32.312258,-102.640206
11420,"Angola, IN Micro Area",2,308.782,41.643467,-85.002405
11460,"Ann Arbor, MI Metro Area",1,706.003,42.252217,-83.843423
11540,"Appleton, WI Metro Area",1,955.807,44.290603,-88.372326
11580,"Arcadia, FL Micro Area",2,636.695,27.190581,-81.806253
11640,"Arecibo, PR Metro Area",1,236.885,18.439224,-66.759981
11680,"Arkansas City-Winfield, KS Micro Area",2,1125.738,37.234507,-96.837247
11700,"Asheville, NC Metro Area",1,1479.053,35.61634,-82.570683
11740,"Ashland, OH Micro Area",2,422.986,40.843273,-82.270127
11860,"Atchison, KS Micro Area",2,431.174,39.532544,-95.313397
11900,"Athens, OH Micro Area",2,503.643,39.332755,-82.045885
11940,"Athens, TN Micro Area",2,625.252,35.451963,-84.682714
11980,"Athens, TX Micro Area",2,873.773,32.211633,-95.853418
12020,"Athens-Clarke County, GA Metro Area",1,1025.035,33.943984,-83.213897
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",1,8785.478,33.732402,-84.392848
12100,"Atlantic City-Hammonton, NJ Metro Area",1,807.099,39.286186,-74.738311
12140,"Auburn, IN Micro Area",2,362.834,41.39676,-85.002697
12180,"Auburn, NY Micro Area",2,691.589,43.008546,-76.574587
12220,"Auburn-Opelika, AL Metro Area",1,1216.221,32.492206,-85.527127
12380,"Austin, MN Micro Area",2,711.273,43.666249,-92.759514
12460,"Bainbridge, GA Micro Area",2,597.239,30.880643,-84.58389
12580,"Baltimore-Columbia-Towson, MD Metro Area",1,2601.47,39.304361,-76.549501
12660,"Baraboo, WI Micro Area",2,831.587,43.428001,-89.943318
12700,"Barnstable Town, MA Metro Area",1,394.2,41.706123,-70.164823
12740,"Barre, VT Micro Area",2,687.06,44.274969,-72.609444
12780,"Bartlesville, OK Micro Area",2,415.524,36.704403,-95.906253
12860,"Batavia, NY Micro Area",2,492.976,43.00091,-78.192778
12940,"Baton Rouge, LA Metro Area",1,4367.811,30.515242,-91.126926
12980,"Battle Creek, MI Metro Area",1,706.259,42.24299,-85.012385
13020,"Bay City, MI Metro Area",1,442.409,43.699711,-83.978701
13060,"Bay City, TX Micro Area",2,1093.122,28.77476,-96.001532
13100,"Beatrice, NE Micro Area",2,851.468,40.255234,-96.683453
13180,"Beaver Dam, WI Micro Area",2,875.699,43.429628,-88.701939
13260,"Bedford, IN Micro Area",2,449.146,38.839815,-86.48782
13340,"Bellefontaine, OH Micro Area",2,458.505,40.387553,-83.766343
13660,"Big Rapids, MI Micro Area",2,555.155,43.635295,-85.332751
13820,"Birmingham, AL Metro Area",1,5279.85,33.462372,-86.814338
13940,"Blackfoot, ID Micro Area",2,2093.732,43.216357,-112.399206
14010,"Bloomington, IL Metro Area",1,1183.248,40.494559,-88.844539
14020,"Bloomington, IN Metro Area",1,779.818,39.241736,-86.671754
14100,"Bloomsburg-Berwick, PA Micro Area",2,483.259,41.045517,-76.40426
14220,"Bogalusa, LA Micro Area",2,669.637,30.852144,-90.046253
14260,"Boise City, ID Metro Area",1,11766.612,43.006648,-116.141909
14300,"Bonham, TX Micro Area",2,877.939,33.591161,-96.104988
14420,"Borger, TX Micro Area",2,887.424,35.837047,-101.362746
14460,"Boston-Cambridge-Newton, MA-NH Metro Area",1,3486.146,42.517606,-71.021993
14500,"Boulder, CO Metro Area",1,726.408,40.094971,-105.39771
14540,"Bowling Green, KY Metro Area",1,1614.371,37.046804,-86.397398
14710,"Brattleboro, VT Micro Area",2,785.959,42.995304,-72.721877
14740,"Bremerton-Silverdale-Port Orchard, WA Metro Area",1,395.111,47.639687,-122.649636
14780,"Brenham, TX Micro Area",2,604.194,30.215075,-96.410272
14820,"Brevard, NC Micro Area",2,378.358,35.210103,-82.816666
14860,"Bridgeport-Stamford-Danbury, CT Metro Area",1,672.31,41.252442,-73.393266
14940,"Brigham City, UT-ID Micro Area",2,6980.255,41.622623,-113.060252
15020,"Brookhaven, MS Micro Area",2,586.207,31.535216,-90.453566
15060,"Brookings, OR Micro Area",2,1628.395,42.466439,-124.210929
