Survey,CSA,CBSA,MONCOV,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202399,174,17420, ,Cleveland  TN ,775,775,185609,0,0,0,8,28,3711,2,18,2287,575,575,149387,0,0,0,8,28,3711,2,18,2287
202399,174,19140, ,Dalton  GA ,366,366,69531,25,50,3257,11,36,5142,8,44,4140,121,121,23737,11,22,1400,3,12,1984,4,24,3067
202399,176,16980, ,Chicago-Naperville-Elgin  IL-IN-WI ,8452,8452,2957029,175,350,77649,193,660,124794,285,5566,962420,7979,7979,2856527,172,344,76602,189,648,123061,249,5361,931868
202399,176,28100, ,Kankakee  IL ,72,72,22465,0,0,0,2,7,1626,1,7,700,72,72,22465,0,0,0,2,7,1626,1,7,700
202399,176,33140, ,Michigan City-La Porte  IN ,161,161,62931,0,0,0,0,0,0,6,72,9120,127,127,54590,0,0,0,0,0,0,0,0,0
202399,178,17140, ,Cincinnati  OH-KY-IN ,3714,3714,1255694,147,294,46580,57,193,29238,107,2040,251034,3526,3526,1219436,147,294,46580,57,193,29238,107,2040,251034
202399,184,10420, ,Akron  OH ,709,709,240822,2,4,803,27,103,17758,18,124,20951,701,701,239742,2,4,803,27,103,17758,18,124,20951
202399,184,15940, ,Canton-Massillon  OH ,364,364,142590,9,18,3394,17,53,6736,13,77,5914,317,317,136320,3,6,1050,10,32,5660,0,0,0
202399,184,17460, ,Cleveland-Elyria  OH ,2500,2500,817297,7,14,5149,24,89,14056,44,888,115056,2302,2302,767151,7,14,5149,24,89,14056,44,888,115056
202399,190,17860, ,Columbia  MO ,609,609,229304,2,4,520,0,0,0,4,68,10625,609,609,229304,2,4,520,0,0,0,4,68,10625
202399,192,17900,C,Columbia  SC ,4634,4634,1171245,39,78,8200,42,151,17134,15,602,130533,3380,3380,927262,39,78,8200,42,151,17134,15,602,130533
