Survey,CSA,CBSA,HHEADER,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
202499,142,45180,5,Talladega-Sylacauga  AL ,181,181,35970,0,0,0,0,0,0,2,14,1913,181,181,35970,0,0,0,0,0,0,2,14,1913
202499,144,13260,5,Bedford  IN ,10,10,3535,0,0,0,0,0,0,0,0,0,10,10,3535,0,0,0,0,0,0,0,0,0
202499,144,14020,2,Bloomington  IN ,301,301,106078,10,20,4680,1,4,2000,22,663,175745,301,301,106078,10,20,4680,1,4,2000,22,663,175745
202499,145,14010,2,Bloomington  IL ,166,166,51057,5,10,1356,1,4,833,5,63,6897,166,166,51057,5,10,1356,1,4,833,5,63,6897
202499,145,38700,5,Pontiac  IL ,47,47,19676,1,2,300,1,4,400,0,0,0,47,47,19676,1,2,300,1,4,400,0,0,0
202499,146,14100,5,Bloomsburg-Berwick  PA ,68,68,22076,0,0,0,0,0,0,0,0,0,67,67,21777,0,0,0,0,0,0,0,0,0
202499,146,30260,5,Lewisburg  PA ,48,48,17005,3,6,913,0,0,0,0,0,0,48,48,17005,3,6,913,0,0,0,0,0,0
202499,146,42780,5,Selinsgrove  PA ,48,48,15626,0,0,0,0,0,0,0,0,0,28,28,9720,0,0,0,0,0,0,0,0,0
202499,146,44980,5,Sunbury  PA ,76,76,26541,1,2,250,0,0,0,0,0,0,64,64,22848,1,2,250,0,0,0,0,0,0
202499,147,14260,2,Boise City  ID ,8252,8252,2207479,29,58,7218,36,143,17546,20,610,104232,8251,8251,2207078,29,58,7218,36,143,17546,20,610,104232
202499,147,34300,5,Mountain Home  ID ,131,131,24273,0,0,0,0,0,0,0,0,0,109,109,19159,0,0,0,0,0,0,0,0,0
202499,147,36620,5,Ontario  OR-ID ,241,241,66314,2,4,820,8,31,3898,0,0,0,241,241,66314,2,4,820,8,31,3898,0,0,0
202499,148,12700,2,Barnstable Town  MA ,430,430,345314,13,26,6212,2,6,1650,15,178,34450,364,364,310996,13,26,6212,1,3,750,12,163,29093
202499,148,14460,2,Boston-Cambridge-Newton  MA-NH ,3734,3734,1616731,170,340,85052,89,314,68202,291,6847,2018756,2855,2855,1301362,149,298,72040,86,305,66352,194,5892,1877604
202499,148,18180,5,Concord  NH ,288,288,99636,5,10,1861,9,29,4484,4,28,4220,229,229,81618,3,6,1011,3,11,1514,4,28,4220
202499,148,29060,5,Laconia  NH ,242,242,108289,7,14,3920,1,4,550,3,22,5811,165,165,79348,7,14,3920,1,4,550,3,22,5811
202499,148,31700,2,Manchester-Nashua  NH ,427,427,164472,21,42,9697,16,54,10247,13,349,61142,308,308,126419,17,34,7847,11,39,7883,12,344,60336
202499,148,39300,2,Providence-Warwick  RI-MA ,1339,1339,423758,182,364,57058,31,99,13746,25,818,102231,958,958,333528,152,304,45751,31,99,13746,25,818,102231
202499,148,49340,2,Worcester  MA ,964,964,344978,43,86,18525,6,22,4859,32,1434,302570,824,824,298761,37,74,15695,6,22,4859,32,1434,302570
202499,150,14540,2,Bowling Green  KY ,810,810,220629,9,18,2603,19,67,9244,156,1410,178716,810,810,220629,9,18,2603,19,67,9244,156,1410,178716
202499,150,23190,5,Franklin  KY ,159,159,35394,5,10,1140,1,4,437,4,31,3201,159,159,35394,5,10,1140,1,4,437,4,31,3201
202499,150,23980,5,Glasgow  KY ,171,171,59100,8,16,3300,8,32,3200,7,64,7180,171,171,59100,8,16,3300,8,32,3200,7,64,7180
202499,152,15060,5,Brookings  OR ,52,52,23678,0,0,0,0,0,0,0,0,0,52,52,23678,0,0,0,0,0,0,0,0,0
202499,152,18860,5,Crescent City  CA ,23,23,7484,4,8,2120,0,0,0,8,211,66682,3,3,1061,0,0,0,0,0,0,8,211,66682
202499,154,15180,2,Brownsville-Harlingen  TX ,1668,1668,326055,60,120,13923,15,48,5268,28,511,115983,1564,1564,305622,59,118,13629,6,21,1407,26,501,114738
202499,154,39700,5,Raymondville  TX ,36,36,7229,0,0,0,0,0,0,0,0,0,36,36,7229,0,0,0,0,0,0,0,0,0
202499,160,15380,2,Buffalo-Cheektowaga  NY ,749,749,312264,6,12,2781,9,36,7848,47,578,102750,687,687,300535,6,12,2781,9,36,7848,34,426,68667
202499,160,36460,5,Olean  NY ,96,96,24958,2,4,937,0,0,0,0,0,0,73,73,20405,2,4,937,0,0,0,0,0,0
202499,161,15460,5,Burlington  IA-IL ,20,20,6901,0,0,0,0,0,0,8,40,5594,20,20,6901,0,0,0,0,0,0,0,0,0
202499,161,22800,5,Fort Madison  IA ,12,12,3105,0,0,0,0,0,0,1,42,8316,2,2,270,0,0,0,0,0,0,1,42,8316
202499,162,12740,5,Barre  VT ,149,149,56407,8,16,3021,2,8,1600,1,30,6000,102,102,39508,3,6,1011,2,8,1600,1,30,6000
202499,162,15540,2,Burlington-South Burlington  VT ,448,448,169650,31,62,10325,5,18,2722,23,574,95732,377,377,148850,22,44,7211,5,18,2722,14,529,93326
202499,163,15980,2,Cape Coral-Fort Myers  FL ,10554,10554,2929554,76,152,25902,5,19,4613,96,4686,935648,10554,10554,2929554,76,152,25902,5,19,4613,96,4686,935648
202499,163,17500,5,Clewiston  FL ,573,573,102035,2,4,300,0,0,0,3,45,1500,573,573,102035,2,4,300,0,0,0,3,45,1500
202499,163,34940,2,Naples-Marco Island  FL ,2466,2466,1422757,6,12,1902,18,65,9259,40,981,384658,2380,2380,1146522,5,10,1702,18,65,9259,32,941,215540
202499,164,16020,2,Cape Girardeau  MO-IL ,77,77,26497,1,2,450,1,4,175,0,0,0,31,31,9314,1,2,450,1,4,175,0,0,0
202499,164,43460,5,Sikeston  MO ,88,88,10001,4,8,548,0,0,0,4,32,2400,85,85,9458,4,8,548,0,0,0,4,32,2400
202499,166,16060,5,Carbondale  IL ,4,4,812,0,0,0,0,0,0,0,0,0,4,4,812,0,0,0,0,0,0,0,0,0
202499,166,32060,5,Marion-Herrin  IL ,80,80,14896,1,2,143,15,51,3823,1,5,550,35,35,8426,0,0,0,0,0,0,0,0,0
202499,168,16300,2,Cedar Rapids  IA ,494,494,151782,41,82,14034,14,55,10866,8,456,60519,488,488,150013,38,76,12484,14,55,10866,8,456,60519
202499,168,26980,2,Iowa City  IA ,528,528,182550,15,30,6952,5,20,4720,10,170,24279,506,506,176161,12,24,6022,5,20,4720,8,160,22347
202499,169,16580,2,Champaign-Urbana  IL ,242,242,91234,5,10,1427,0,0,0,9,359,55689,232,232,88734,5,10,1427,0,0,0,9,359,55689
202499,169,19180,5,Danville  IL ,4,4,1879,0,0,0,0,0,0,0,0,0,4,4,1879,0,0,0,0,0,0,0,0,0
202499,170,16620,2,Charleston  WV ,106,106,13288,0,0,0,0,0,0,0,0,0,67,67,7277,0,0,0,0,0,0,0,0,0
202499,170,26580,2,Huntington-Ashland  WV-KY-OH ,236,236,46419,6,12,1885,4,12,1410,8,342,64805,55,55,11848,5,10,1785,3,9,1300,8,342,64805
202499,170,39020,5,Portsmouth  OH ,8,8,2416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202499,172,10620,5,Albemarle  NC ,367,367,61796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202499,172,16740,2,Charlotte-Concord-Gastonia  NC-SC ,18954,18954,5613986,71,142,26503,3,12,1752,200,6827,936881,17574,17574,5105582,70,140,26110,3,12,1752,186,6680,920194
202499,172,25860,2,Hickory-Lenoir-Morganton  NC ,2310,2310,524362,52,104,13513,3,12,1584,55,349,38435,1875,1875,423395,49,98,12433,3,12,1584,38,255,32708
202499,172,32000,5,Marion  NC ,175,175,86402,0,0,0,0,0,0,0,0,0,68,68,37927,0,0,0,0,0,0,0,0,0
202499,172,43140,5,Shelby-Kings Mountain  NC ,403,403,101877,17,34,5476,7,28,4964,3,48,6918,403,403,101877,17,34,5476,7,28,4964,3,48,6918
202499,174,11940,5,Athens  TN ,118,118,31565,4,8,736,0,0,0,1,6,350,78,78,21599,4,8,736,0,0,0,1,6,350
202499,174,16860,2,Chattanooga  TN-GA ,2607,2607,560659,74,148,13023,45,154,14542,61,685,66707,2002,2002,430344,20,40,4850,27,95,10314,37,280,26248
202499,174,17420,2,Cleveland  TN ,925,925,229629,10,20,3600,9,34,5255,0,0,0,714,714,191414,10,20,3600,9,34,5255,0,0,0
202499,174,19140,2,Dalton  GA ,377,377,75694,24,48,3134,14,45,6319,9,45,3710,22,22,5427,0,0,0,3,12,1752,1,5,718
202499,174,42460,5,Scottsboro  AL ,53,53,15601,0,0,0,0,0,0,0,0,0,7,7,1392,0,0,0,0,0,0,0,0,0
202499,174,44900,5,Summerville  GA ,2,2,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202499,176,16980,2,Chicago-Naperville-Elgin  IL-IN ,9509,9509,3398477,131,262,64798,143,474,102851,339,7819,1733540,8956,8956,3236218,128,256,63815,140,465,101551,302,7617,1699304
202499,176,28100,2,Kankakee  IL ,95,95,27189,13,26,3424,4,13,2891,1,5,500,81,81,22481,13,26,3424,1,4,800,0,0,0
202499,176,28450,2,Kenosha  WI ,216,216,98430,18,36,7063,0,0,0,1,8,2100,213,213,94230,18,36,7063,0,0,0,1,8,2100
202499,176,33140,2,Michigan City-La Porte  IN ,221,221,81633,0,0,0,0,0,0,11,75,9500,180,180,70899,0,0,0,0,0,0,0,0,0
202499,176,36837,5,Ottawa  IL ,100,100,34507,1,2,525,1,3,224,0,0,0,97,97,33018,1,2,525,1,3,224,0,0,0
202499,178,17140,2,Cincinnati  OH-KY-IN ,4025,4025,1333442,141,282,39495,67,221,31364,128,2561,368104,3774,3774,1280123,140,280,39114,67,221,31364,127,2555,367657
202499,178,48940,5,Wilmington  OH ,115,115,35687,1,2,304,1,3,212,0,0,0,88,88,24995,1,2,304,1,3,212,0,0,0
202499,184,10420,2,Akron  OH ,761,761,249423,13,26,5008,22,83,14780,37,412,54694,738,738,234393,13,26,5008,22,83,14780,37,412,54694
202499,184,15940,2,Canton-Massillon  OH ,371,371,149375,17,34,6138,13,39,5828,15,84,6452,315,315,141270,11,22,3781,7,21,4905,0,0,0
202499,184,17410,2,Cleveland  OH ,2980,2980,1036554,45,90,14743,42,143,25264,66,1076,147189,2774,2774,982334,45,90,14743,37,128,24337,57,1022,129924
202499,184,18740,5,Coshocton  OH ,4,4,1238,0,0,0,0,0,0,0,0,0,1,1,150,0,0,0,0,0,0,0,0,0
202499,184,23380,5,Fremont  OH ,26,26,8854,0,0,0,0,0,0,0,0,0,20,20,7065,0,0,0,0,0,0,0,0,0
202499,184,35420,5,New Philadelphia-Dover  OH ,54,54,16075,8,16,2507,0,0,0,0,0,0,41,41,12241,8,16,2507,0,0,0,0,0,0
202499,184,35940,5,Norwalk  OH ,44,44,15035,1,2,200,0,0,0,0,0,0,36,36,12437,1,2,200,0,0,0,0,0,0
202499,184,41780,2,Sandusky  OH ,229,229,103808,2,4,1100,2,6,900,0,0,0,183,183,93616,2,4,1100,0,0,0,0,0,0
202499,184,49300,5,Wooster  OH ,228,228,77023,2,4,638,2,8,2375,1,42,4910,228,228,77023,2,4,638,2,8,2375,1,42,4910
202499,190,17860,2,Columbia  MO ,763,763,293706,7,14,2427,0,0,0,20,554,86123,759,759,293324,7,14,2427,0,0,0,19,549,85894
202499,190,27620,2,Jefferson City  MO ,201,201,61543,2,4,275,3,10,816,0,0,0,167,167,53198,2,4,275,1,4,250,0,0,0
202499,190,33020,5,Mexico  MO ,23,23,3953,1,2,400,0,0,0,0,0,0,23,23,3953,1,2,400,0,0,0,0,0,0
202499,190,33620,5,Moberly  MO ,21,21,5080,2,4,400,0,0,0,0,0,0,21,21,5080,2,4,400,0,0,0,0,0,0
202499,192,17900,2,Columbia  SC ,4469,4469,1141475,34,68,10752,71,259,36934,39,1096,156206,3172,3172,890222,34,68,10752,71,259,36934,39,1096,156206
202499,192,35140,5,Newberry  SC ,155,155,64452,0,0,0,0,0,0,0,0,0,155,155,64452,0,0,0,0,0,0,0,0,0
202499,192,36700,5,Orangeburg  SC ,101,101,17419,0,0,0,0,0,0,0,0,0,20,20,5752,0,0,0,0,0,0,0,0,0
202499,192,44940,2,Sumter  SC ,344,344,58051,21,42,4004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202499,194,10760,5,Alexander City  AL ,216,216,142121,0,0,0,0,0,0,0,0,0,216,216,142121,0,0,0,0,0,0,0,0,0
202499,194,12220,2,Auburn-Opelika  AL ,1722,1722,418117,24,48,4997,0,0,0,1,113,14474,1720,1720,417544,24,48,4997,0,0,0,1,113,14474
202499,194,17980,2,Columbus  GA-AL ,638,638,197122,6,12,1135,0,0,0,6,30,3090,373,373,117111,6,12,1135,0,0,0,0,0,0
202499,198,11900,5,Athens  OH ,4,4,2380,1,2,150,0,0,0,0,0,0,4,4,2380,1,2,150,0,0,0,0,0,0
202499,198,13340,5,Bellefontaine  OH ,135,135,43233,4,8,1415,0,0,0,0,0,0,135,135,43233,4,8,1415,0,0,0,0,0,0
202499,198,15740,5,Cambridge  OH ,35,35,7537,0,0,0,0,0,0,0,0,0,35,35,7537,0,0,0,0,0,0,0,0,0
202499,198,17060,5,Chillicothe  OH ,22,22,6898,1,2,162,0,0,0,0,0,0,1,1,700,0,0,0,0,0,0,0,0,0
202499,198,18140,2,Columbus  OH ,6094,6094,2502233,54,108,21793,31,115,19467,288,7645,867082,5380,5380,2235859,51,102,20550,31,115,19467,286,7635,865873
202499,198,32020,5,Marion  OH ,38,38,11853,0,0,0,1,3,130,0,0,0,38,38,11853,0,0,0,1,3,130,0,0,0
202499,198,34540,5,Mount Vernon  OH ,184,184,63104,5,10,2059,0,0,0,0,0,0,149,149,51620,5,10,2059,0,0,0,0,0,0
202499,198,47920,5,Washington Court House  OH ,52,52,11525,8,16,3125,1,3,270,0,0,0,52,52,11525,8,16,3125,1,3,270,0,0,0
202499,198,49780,5,Zanesville  OH ,35,35,7138,6,12,2109,2,6,1078,1,42,6584,30,30,5742,6,12,2109,2,6,1078,1,42,6584
202499,204,10860,5,Alice  TX ,4,4,790,0,0,0,0,0,0,0,0,0,1,1,175,0,0,0,0,0,0,0,0,0
202499,204,18580,2,Corpus Christi  TX ,2198,2198,602064,9,18,2794,0,0,0,11,104,11673,1731,1731,483610,9,18,2794,0,0,0,2,57,8180
202499,204,28780,5,Kingsville  TX ,11,11,2079,0,0,0,0,0,0,0,0,0,11,11,2079,0,0,0,0,0,0,0,0,0
202499,206,11980,5,Athens  TX ,258,258,73644,8,16,2911,0,0,0,0,0,0,222,222,64324,8,16,2911,0,0,0,0,0,0
202499,206,14300,5,Bonham  TX ,95,95,23698,5,10,1379,1,4,471,0,0,0,95,95,23698,5,10,1379,1,4,471,0,0,0
202499,206,18620,5,Corsicana  TX ,522,522,128640,4,8,1242,0,0,0,0,0,0,155,155,36241,4,8,1242,0,0,0,0,0,0
202499,206,19100,2,Dallas-Fort Worth-Arlington  TX ,46440,46440,14194841,750,1500,226310,193,698,102844,624,23150,3146523,43470,43470,13451818,595,1190,182616,149,544,87379,611,22817,3118796
202499,206,20460,5,Durant  OK ,76,76,26852,10,20,2080,0,0,0,7,80,14100,76,76,26852,10,20,2080,0,0,0,7,80,14100
202499,206,23620,5,Gainesville  TX ,143,143,39466,2,4,621,2,8,1144,0,0,0,122,122,34363,2,4,621,2,8,1144,0,0,0
202499,206,24180,5,Granbury  TX ,141,141,41542,0,0,0,0,0,0,0,0,0,129,129,38467,0,0,0,0,0,0,0,0,0
202499,206,33420,5,Mineral Wells  TX ,22,22,6327,1,2,310,0,0,0,0,0,0,22,22,6327,1,2,310,0,0,0,0,0,0
202499,206,43300,2,Sherman-Denison  TX ,1368,1368,403678,12,24,3726,0,0,0,41,750,99111,1368,1368,403678,12,24,3726,0,0,0,41,750,99111
202499,206,44860,5,Sulphur Springs  TX ,65,65,13299,0,0,0,0,0,0,0,0,0,3,3,755,0,0,0,0,0,0,0,0,0
202499,209,17540,5,Clinton  IA ,31,31,9966,18,36,5261,0,0,0,10,50,8333,25,25,8296,12,24,2585,0,0,0,0,0,0
202499,209,19340,2,Davenport-Moline-Rock Island  IA-IL ,401,401,115366,17,34,6397,7,24,3629,23,506,72679,374,374,110485,11,22,4447,4,15,2880,13,456,67436
202499,209,34700,5,Muscatine  IA ,30,30,8513,1,2,351,0,0,0,3,45,7510,30,30,8513,1,2,351,0,0,0,3,45,7510
202499,212,19430,2,Dayton-Kettering-Beavercreek  OH ,1298,1298,512010,21,42,8206,47,145,28285,39,571,83899,1250,1250,499475,19,38,7503,45,139,27688,25,323,53815
202499,212,24820,5,Greenville  OH ,35,35,13551,4,8,1950,0,0,0,0,0,0,35,35,13551,4,8,1950,0,0,0,0,0,0
202499,212,43380,5,Sidney  OH ,113,113,31716,0,0,0,0,0,0,22,450,42681,112,112,31116,0,0,0,0,0,0,22,450,42681
202499,212,44220,2,Springfield  OH ,102,102,37017,0,0,0,4,14,2749,17,116,16900,102,102,37017,0,0,0,4,14,2749,17,116,16900
202499,212,46500,5,Urbana  OH ,42,42,13335,0,0,0,0,0,0,0,0,0,42,42,13335,0,0,0,0,0,0,0,0,0
202499,216,14500,2,Boulder  CO ,441,441,262822,18,36,8157,17,67,13709,35,1136,250705,432,432,260288,15,30,7159,17,67,13709,35,1136,250705
202499,216,19740,2,Denver-Aurora-Centennial  CO ,9012,9012,3108190,8,16,3923,30,113,19410,163,6429,1014283,8778,8778,3047960,7,14,3481,30,113,19410,146,6202,978362
202499,216,24540,2,Greeley  CO ,2866,2866,1134355,8,16,3724,12,41,8208,45,545,98041,2781,2781,1104672,6,12,3095,11,38,7751,42,527,95807
202499,218,11180,2,Ames  IA ,205,205,74084,5,10,2744,2,8,1584,7,50,9556,194,194,70884,5,10,2744,2,8,1584,7,50,9556
202499,218,19780,2,Des Moines-West Des Moines  IA ,3717,3717,1354953,41,82,10897,11,44,10414,37,1221,184129,3700,3700,1350055,41,82,10897,11,44,10414,37,1221,184129
202499,218,36820,5,Oskaloosa  IA ,12,12,4452,2,4,796,0,0,0,0,0,0,12,12,4452,2,4,796,0,0,0,0,0,0
202499,218,37800,5,Pella  IA ,101,101,38733,3,6,2150,0,0,0,0,0,0,101,101,38733,3,6,2150,0,0,0,0,0,0
202499,220,10300,5,Adrian  MI ,160,160,51684,0,0,0,0,0,0,1,8,1500,101,101,43284,0,0,0,0,0,0,1,8,1500
202499,220,11460,2,Ann Arbor  MI ,557,557,231038,2,4,774,19,72,11367,21,560,345654,553,553,229880,2,4,774,19,72,11367,9,330,107468
202499,220,19820,2,Detroit-Warren-Dearborn  MI ,4878,4878,1745418,157,314,27578,63,243,55827,120,2269,394234,4198,4198,1570811,157,314,27578,63,243,55827,111,2175,376689
202499,220,22420,2,Flint  MI ,339,339,100473,5,10,1669,1,3,1400,7,68,18160,296,296,87635,5,10,1669,1,3,1400,5,58,16207
202499,220,33780,2,Monroe  MI ,219,219,63050,6,12,2570,0,0,0,1,6,600,176,176,52914,6,12,2570,0,0,0,1,6,600
202499,221,19940,5,Dixon  IL ,27,27,8219,0,0,0,4,16,1350,0,0,0,27,27,8219,0,0,0,4,16,1350,0,0,0
202499,221,44580,5,Sterling  IL ,21,21,7179,2,4,635,0,0,0,0,0,0,21,21,7179,2,4,635,0,0,0,0,0,0
202499,222,20020,2,Dothan  AL ,451,451,125348,1,2,250,3,12,1506,6,96,8160,298,298,91476,1,2,250,3,12,1506,6,96,8160
202499,222,21460,5,Enterprise  AL ,133,133,31742,1,2,220,0,0,0,2,11,1780,133,133,31742,1,2,220,0,0,0,2,11,1780
202499,222,37120,5,Ozark  AL ,39,39,5328,0,0,0,0,0,0,0,0,0,37,37,4918,0,0,0,0,0,0,0,0,0
202499,228,20260,2,Duluth  MN-WI ,484,484,141635,7,14,3205,0,0,0,8,360,86316,474,474,138656,7,14,3205,0,0,0,8,360,86316
202499,228,24330,5,Grand Rapids  MN ,124,124,43611,0,0,0,0,0,0,0,0,0,116,116,41357,0,0,0,0,0,0,0,0,0
202499,232,20740,2,Eau Claire  WI ,375,375,153734,56,112,28023,0,0,0,26,467,70406,375,375,153734,56,112,28023,0,0,0,26,467,70406
202499,232,32860,5,Menomonie  WI ,137,137,44452,4,8,1894,0,0,0,0,0,0,137,137,44452,4,8,1894,0,0,0,0,0,0
202499,233,20780,5,Edwards  CO ,142,142,212079,1,2,384,5,16,4076,4,256,85721,131,131,189134,1,2,384,5,16,4076,4,256,85721
202499,233,40090,5,Rifle  CO ,154,154,389173,1,2,1661,3,12,4500,3,153,229855,153,153,388755,1,2,1661,3,12,4500,3,153,229855
202499,236,18500,5,Corning  NY ,120,120,24493,0,0,0,0,0,0,0,0,0,49,49,15270,0,0,0,0,0,0,0,0,0
202499,236,21300,2,Elmira  NY ,26,26,5315,2,4,584,0,0,0,12,63,7060,19,19,4157,2,4,584,0,0,0,0,0,0
202499,238,21340,2,El Paso  TX ,2077,2077,486594,31,62,8026,12,38,5009,16,143,16857,265,265,58709,0,0,0,0,0,0,0,0,0
202499,238,29740,2,Las Cruces  NM ,834,834,214034,49,98,16096,9,32,3378,0,0,0,680,680,168295,49,98,16096,9,32,3378,0,0,0
202499,240,21500,2,Erie  PA ,149,149,51804,1,2,341,0,0,0,10,188,27130,139,139,49664,0,0,0,0,0,0,10,188,27130
202499,240,32740,5,Meadville  PA ,79,79,22164,0,0,0,0,0,0,0,0,0,76,76,21305,0,0,0,0,0,0,0,0,0
202499,241,21780,2,Evansville  IN ,643,643,239948,35,70,10600,0,0,0,0,0,0,643,643,239948,35,70,10600,0,0,0,0,0,0
202499,241,25775,5,Henderson  KY ,76,76,26236,8,16,2739,1,4,387,0,0,0,76,76,26236,8,16,2739,1,4,387,0,0,0
202499,242,17220,5,Clarksburg  WV ,74,74,22375,2,4,621,0,0,0,1,5,875,72,72,22204,2,4,621,0,0,0,1,5,875
