Survey,CSA,CBSA,HHEADER,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202499,101,10180,2,Abilene  TX ,431,431,120144,48,96,14788,0,0,0,0,0,0,431,431,120144,48,96,14788,0,0,0,0,0,0
202499,101,45020,5,Sweetwater  TX ,19,19,3663,0,0,0,0,0,0,0,0,0,19,19,3663,0,0,0,0,0,0,0,0,0
202499,104,10580,2,Albany-Schenectady-Troy  NY ,1201,1201,426445,17,34,7367,17,63,10029,72,1068,475593,913,913,323928,13,26,4937,13,51,7693,55,979,463685
202499,104,11220,5,Amsterdam  NY ,44,44,10379,0,0,0,0,0,0,14,168,36000,31,31,6570,0,0,0,0,0,0,14,168,36000
202499,104,24020,2,Glens Falls  NY ,243,243,77733,5,10,1685,0,0,0,7,102,13168,236,236,76062,5,10,1685,0,0,0,7,102,13168
202499,104,24100,5,Gloversville  NY ,60,60,18597,0,0,0,0,0,0,0,0,0,47,47,14779,0,0,0,0,0,0,0,0,0
202499,104,26460,5,Hudson  NY ,137,137,53835,0,0,0,0,0,0,0,0,0,107,107,36660,0,0,0,0,0,0,0,0,0
202499,105,10740,2,Albuquerque  NM ,2064,2064,534780,23,46,6638,1,4,1250,28,762,77883,2064,2064,534780,23,46,6638,1,4,1250,28,762,77883
202499,105,29780,5,Las Vegas  NM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202499,105,31060,5,Los Alamos  NM ,12,12,2400,0,0,0,0,0,0,0,0,0,12,12,2400,0,0,0,0,0,0,0,0,0
202499,105,42140,2,Santa Fe  NM ,244,244,91368,0,0,0,0,0,0,0,0,0,244,244,91368,0,0,0,0,0,0,0,0,0
202499,106,10900,2,Allentown-Bethlehem-Easton  PA-NJ ,1368,1368,390786,17,34,6161,10,33,2525,54,1050,127615,1146,1146,339602,15,30,5590,10,33,2525,41,964,112653
202499,106,20700,5,East Stroudsburg  PA ,226,226,74849,0,0,0,0,0,0,1,52,4680,203,203,68919,0,0,0,0,0,0,1,52,4680
202499,107,11020,2,Altoona  PA ,69,69,24114,6,12,2800,0,0,0,1,6,345,65,65,23247,6,12,2800,0,0,0,1,6,345
202499,107,26500,5,Huntingdon  PA ,66,66,19243,0,0,0,0,0,0,0,0,0,44,44,13005,0,0,0,0,0,0,0,0,0
202499,108,11100,2,Amarillo  TX ,639,639,182641,1,2,310,2,6,876,30,650,93285,604,604,173674,1,2,310,2,6,876,30,650,93285
202499,108,14420,5,Borger  TX ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202499,118,11540,2,Appleton  WI ,585,585,233832,22,44,9547,0,0,0,5,30,4565,573,573,229584,17,34,7776,0,0,0,5,30,4565
202499,118,36780,2,Oshkosh-Neenah  WI ,293,293,105882,15,30,6530,0,0,0,16,333,41275,293,293,105882,15,30,6530,0,0,0,16,333,41275
202499,120,11700,2,Asheville  NC ,2518,2518,1044171,5,10,1813,1,4,584,95,2846,413922,2518,2518,1044171,5,10,1813,1,4,584,95,2846,413922
202499,120,14820,5,Brevard  NC ,179,179,120794,3,6,720,0,0,0,0,0,0,179,179,120794,3,6,720,0,0,0,0,0,0
202499,120,48200,5,Waynesville  NC ,373,373,126803,7,14,2033,0,0,0,7,150,21750,317,317,101205,5,10,1520,0,0,0,7,150,21750
202499,122,12020,2,Athens-Clarke County  GA ,863,863,300447,0,0,0,21,84,7770,24,888,112103,650,650,231104,0,0,0,21,84,7770,24,888,112103
202499,122,12060,2,Atlanta-Sandy Springs-Roswell  GA ,25773,25773,7286250,146,292,55029,176,667,124399,895,13955,2112487,24722,24722,7018075,145,290,54594,173,658,122781,868,13449,2038399
202499,122,15660,5,Calhoun  GA ,357,357,77430,0,0,0,18,72,6164,0,0,0,344,344,73955,0,0,0,18,72,6164,0,0,0
202499,122,16340,5,Cedartown  GA ,130,130,36661,0,0,0,0,0,0,2,17,2000,130,130,36661,0,0,0,0,0,0,2,17,2000
202499,122,18460,5,Cornelia  GA ,232,232,82356,0,0,0,1,4,1357,1,5,1476,151,151,50814,0,0,0,1,4,1357,0,0,0
202499,122,23580,2,Gainesville  GA ,1647,1647,456049,3,6,510,17,66,10584,43,620,91375,1601,1601,445042,3,6,510,17,66,10584,43,620,91375
202499,122,27600,5,Jefferson  GA ,2070,2070,632483,0,0,0,0,0,0,8,44,6065,1864,1864,573855,0,0,0,0,0,0,8,44,6065
202499,122,29300,5,LaGrange  GA-AL ,438,438,141519,1,2,300,0,0,0,0,0,0,387,387,131275,1,2,300,0,0,0,0,0,0
202499,122,40660,2,Rome  GA ,355,355,71556,0,0,0,0,0,0,0,0,0,355,355,71556,0,0,0,0,0,0,0,0,0
202499,122,45580,5,Thomaston  GA ,129,129,36035,0,0,0,1,4,387,0,0,0,124,124,34709,0,0,0,1,4,387,0,0,0
202499,132,12940,2,Baton Rouge  LA ,3250,3250,872903,45,90,6402,2,7,884,58,459,9691,2418,2418,634953,45,90,6402,2,7,884,58,459,9691
202499,132,25220,2,Hammond  LA ,699,699,141209,4,8,401,0,0,0,13,378,35812,528,528,111192,0,0,0,0,0,0,0,0,0
202499,142,13820,2,Birmingham  AL ,3165,3165,962933,11,22,11348,1,3,451,17,556,104775,2922,2922,887818,0,0,0,0,0,0,4,313,65000
202499,142,18980,5,Cullman  AL ,165,165,36211,6,12,1224,0,0,0,0,0,0,165,165,36211,6,12,1224,0,0,0,0,0,0
