Survey,CSA,CBSA,HHEADER,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202599,145,38700,5,Pontiac  IL ,20,20,7442,15,30,5190,0,0,0,0,0,0,20,20,7442,15,30,5190,0,0,0,0,0,0
202599,146,14100,5,Bloomsburg-Berwick  PA ,106,106,25821,1,2,350,1,3,800,0,0,0,97,97,23153,1,2,350,1,3,800,0,0,0
202599,146,30260,5,Lewisburg  PA ,63,63,26479,0,0,0,0,0,0,0,0,0,63,63,26479,0,0,0,0,0,0,0,0,0
202599,146,42780,5,Selinsgrove  PA ,67,67,21296,1,2,230,0,0,0,0,0,0,46,46,14954,1,2,230,0,0,0,0,0,0
202599,146,44980,5,Sunbury  PA ,49,49,20761,0,0,0,0,0,0,0,0,0,42,42,18667,0,0,0,0,0,0,0,0,0
202599,147,14260,2,Boise City  ID ,7970,7970,2179024,83,166,22513,21,84,12363,62,1218,191595,7970,7970,2179024,83,166,22513,21,84,12363,62,1218,191595
202599,147,34300,5,Mountain Home  ID ,164,164,23623,0,0,0,0,0,0,0,0,0,145,145,19191,0,0,0,0,0,0,0,0,0
202599,147,36620,5,Ontario  OR-ID ,201,201,65626,10,20,2788,12,48,6167,0,0,0,199,199,64798,10,20,2788,12,48,6167,0,0,0
202599,148,12700,2,Barnstable Town  MA ,333,333,281354,14,28,2812,5,17,3550,17,252,66763,299,299,265186,14,28,2812,4,14,2650,13,232,59620
202599,148,14460,2,Boston-Cambridge-Newton  MA-NH ,3971,3971,1720774,114,228,48796,54,178,37266,278,5695,1536116,3233,3233,1479883,97,194,40528,49,163,33494,184,4796,1390062
202599,148,18180,5,Concord  NH ,248,248,112833,8,16,3301,7,22,3640,0,0,0,191,191,93260,6,12,2451,2,7,1165,0,0,0
202599,148,29060,5,Laconia  NH ,332,332,153814,21,42,9265,3,11,3410,5,38,6650,311,311,148328,21,42,9265,3,11,3410,5,38,6650
202599,148,31700,2,Manchester-Nashua  NH ,380,380,160858,17,34,8499,10,30,5618,15,188,43098,299,299,131330,8,16,4014,0,0,0,0,0,0
202599,148,39300,2,Providence-Warwick  RI-MA ,1169,1169,390916,186,372,49769,53,173,23057,33,1180,143108,898,898,337243,184,368,49353,53,173,23057,33,1180,143108
202599,148,49340,2,Worcester  MA ,776,776,274286,40,80,17172,8,27,5569,23,807,145121,665,665,233229,37,74,16302,8,27,5569,22,800,144478
202599,150,14540,2,Bowling Green  KY ,708,708,209598,7,14,2862,11,40,5011,51,708,98978,708,708,209598,7,14,2862,11,40,5011,51,708,98978
202599,150,23190,5,Franklin  KY ,205,205,50396,3,6,808,2,7,1003,16,178,26209,193,193,47725,2,4,580,1,4,675,15,173,25693
202599,150,23980,5,Glasgow  KY ,178,178,51807,13,26,4201,0,0,0,0,0,0,178,178,51807,13,26,4201,0,0,0,0,0,0
202599,152,15060,5,Brookings  OR ,42,42,18807,0,0,0,0,0,0,0,0,0,42,42,18807,0,0,0,0,0,0,0,0,0
202599,152,18860,5,Crescent City  CA ,17,17,6085,14,28,8412,3,9,3115,4,59,2987,17,17,6085,14,28,8412,3,9,3115,4,59,2987
202599,154,15180,2,Brownsville-Harlingen  TX ,1838,1838,405728,70,140,16615,10,37,5062,34,687,32603,1677,1677,375822,59,118,13695,8,31,4691,29,650,20578
202599,154,39700,5,Raymondville  TX ,43,43,9547,0,0,0,0,0,0,0,0,0,43,43,9547,0,0,0,0,0,0,0,0,0
202599,160,15380,2,Buffalo-Cheektowaga  NY ,902,902,402523,19,38,8551,11,44,11823,34,500,72896,853,853,394211,19,38,8551,11,44,11823,23,393,48903
202599,160,36460,5,Olean  NY ,124,124,32051,13,26,2437,0,0,0,0,0,0,84,84,22006,12,24,2100,0,0,0,0,0,0
202599,161,15460,5,Burlington  IA-IL ,23,23,7981,0,0,0,1,3,839,10,59,7734,22,22,7460,0,0,0,0,0,0,1,13,1300
202599,161,22800,5,Fort Madison  IA ,20,20,4136,0,0,0,1,4,475,3,56,4676,10,10,1103,0,0,0,1,4,475,3,56,4676
202599,162,12740,5,Barre  VT ,130,130,50146,9,18,3763,2,8,1600,0,0,0,93,93,35394,6,12,2326,2,8,1600,0,0,0
202599,162,15540,2,Burlington-South Burlington  VT ,456,456,163438,23,46,8236,7,24,5848,18,732,217585,392,392,142681,10,20,3485,7,24,5848,9,687,215261
202599,163,15980,2,Cape Coral-Fort Myers  FL ,9962,9962,2930727,86,172,36944,7,28,6200,91,3385,789976,9962,9962,2930727,86,172,36944,7,28,6200,91,3385,789976
202599,163,17500,5,Clewiston  FL ,562,562,95981,8,16,3645,0,0,0,0,0,0,558,558,95070,8,16,3645,0,0,0,0,0,0
202599,163,34940,2,Naples-Marco Island  FL ,1945,1945,1123531,4,8,1300,15,59,12235,30,724,327875,1828,1828,715192,3,6,1100,15,59,12235,19,664,74197
202599,164,16020,2,Cape Girardeau  MO-IL ,99,99,35096,0,0,0,0,0,0,0,0,0,54,54,18259,0,0,0,0,0,0,0,0,0
202599,164,43460,5,Sikeston  MO ,73,73,8792,3,6,899,0,0,0,0,0,0,70,70,8249,3,6,899,0,0,0,0,0,0
202599,166,16060,5,Carbondale  IL ,4,4,269,0,0,0,0,0,0,0,0,0,4,4,269,0,0,0,0,0,0,0,0,0
202599,166,32060,5,Marion-Herrin  IL ,68,68,14972,3,6,428,17,59,4719,1,8,989,25,25,6850,0,0,0,1,4,615,1,8,989
202599,168,16300,2,Cedar Rapids  IA ,464,464,148867,36,72,16447,14,51,10363,10,400,61153,453,453,145899,36,72,16447,14,51,10363,10,400,61153
202599,168,26980,2,Iowa City  IA ,526,526,206785,11,22,6024,10,35,8070,27,683,100442,433,433,172408,10,20,5723,7,26,5820,17,591,87612
202599,169,16580,2,Champaign-Urbana  IL ,312,312,106448,2,4,699,3,12,1930,16,585,84480,299,299,103498,2,4,699,3,12,1930,16,585,84480
202599,169,19180,5,Danville  IL ,10,10,2223,0,0,0,0,0,0,0,0,0,9,9,1869,0,0,0,0,0,0,0,0,0
202599,170,16620,2,Charleston  WV ,110,110,12563,2,4,295,0,0,0,0,0,0,28,28,3401,2,4,295,0,0,0,0,0,0
202599,170,26580,2,Huntington-Ashland  WV-KY-OH ,236,236,50670,28,56,4265,5,17,1000,0,0,0,53,53,14149,27,54,4165,3,11,815,0,0,0
202599,170,39020,5,Portsmouth  OH ,10,10,2796,0,0,0,0,0,0,0,0,0,2,2,380,0,0,0,0,0,0,0,0,0
202599,172,10620,5,Albemarle  NC ,336,336,56577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202599,172,16740,2,Charlotte-Concord-Gastonia  NC-SC ,16242,16242,5037349,61,122,19804,13,49,7514,161,5820,640807,15357,15357,4716998,61,122,19804,13,49,7514,148,5709,628207
202599,172,25860,2,Hickory-Lenoir-Morganton  NC ,2434,2434,708477,95,190,24178,2,7,545,26,505,45480,2320,2320,689142,92,184,23098,2,7,545,13,434,41524
202599,172,32000,5,Marion  NC ,164,164,79411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202599,172,43140,5,Shelby-Kings Mountain  NC ,396,396,94710,8,16,2054,13,41,6961,13,102,14792,254,254,61297,2,4,76,7,23,3770,0,0,0
202599,174,11940,5,Athens  TN ,198,198,42301,6,12,1280,2,6,1040,0,0,0,107,107,16687,6,12,1280,2,6,1040,0,0,0
202599,174,16860,2,Chattanooga  TN-GA ,2547,2547,654227,74,148,15419,30,104,10706,21,159,17314,2177,2177,597639,68,136,13930,13,44,4920,4,24,3890
202599,174,17420,2,Cleveland  TN ,844,844,225656,9,18,2770,14,46,7803,4,30,5384,694,694,198488,9,18,2770,14,46,7803,4,30,5384
202599,174,19140,2,Dalton  GA ,417,417,94705,56,112,9692,5,16,2387,1,5,718,337,337,73712,56,112,9692,0,0,0,0,0,0
202599,174,42460,5,Scottsboro  AL ,49,49,14401,0,0,0,0,0,0,0,0,0,6,6,1112,0,0,0,0,0,0,0,0,0
202599,174,44900,5,Summerville  GA ,2,2,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202599,176,16980,2,Chicago-Naperville-Elgin  IL-IN ,9497,9497,3551207,135,270,67885,205,687,151099,238,5324,1465226,9319,9319,3476437,132,264,67082,203,681,150021,215,5020,1323546
202599,176,28100,2,Kankakee  IL ,92,92,26904,6,12,1216,3,9,1800,0,0,0,82,82,25410,0,0,0,1,3,600,0,0,0
202599,176,28450,2,Kenosha  WI ,180,180,80630,97,194,32092,0,0,0,6,518,244057,168,168,72750,97,194,32092,0,0,0,6,518,244057
202599,176,33140,2,Michigan City-La Porte  IN ,204,204,87715,0,0,0,0,0,0,13,87,11020,165,165,77638,0,0,0,0,0,0,0,0,0
202599,176,36837,5,Ottawa  IL ,78,78,30068,2,4,699,0,0,0,0,0,0,74,74,28279,2,4,699,0,0,0,0,0,0
202599,178,17140,2,Cincinnati  OH-KY-IN ,4311,4311,1399318,124,248,36323,62,214,38097,107,2491,269011,4123,4123,1366346,124,248,36323,61,210,37378,107,2491,269011
202599,178,48940,5,Wilmington  OH ,102,102,33873,0,0,0,0,0,0,0,0,0,101,101,33723,0,0,0,0,0,0,0,0,0
202599,184,10420,2,Akron  OH ,638,638,281790,0,0,0,9,35,6156,14,78,10054,613,613,265453,0,0,0,9,35,6156,14,78,10054
202599,184,15940,2,Canton-Massillon  OH ,472,472,160541,12,24,4802,14,45,5640,16,102,7835,414,414,152203,6,12,2445,7,24,4564,0,0,0
202599,184,17410,2,Cleveland  OH ,2866,2866,1055220,10,20,5379,22,74,11161,30,1214,247693,2427,2427,913912,10,20,5379,16,56,10049,30,1214,247693
202599,184,18740,5,Coshocton  OH ,4,4,1108,4,8,450,0,0,0,0,0,0,1,1,20,4,8,450,0,0,0,0,0,0
202599,184,23380,5,Fremont  OH ,18,18,6549,1,2,349,3,10,600,0,0,0,6,6,2638,1,2,349,3,10,600,0,0,0
202599,184,35420,5,New Philadelphia-Dover  OH ,61,61,25137,4,8,1050,0,0,0,0,0,0,44,44,20192,4,8,1050,0,0,0,0,0,0
202599,184,35940,5,Norwalk  OH ,61,61,23793,16,32,2675,0,0,0,0,0,0,55,55,21924,16,32,2675,0,0,0,0,0,0
202599,184,41780,2,Sandusky  OH ,306,306,143503,0,0,0,2,6,760,2,13,1450,286,286,137950,0,0,0,2,6,760,2,13,1450
202599,184,49300,5,Wooster  OH ,223,223,76410,3,6,1007,1,3,450,0,0,0,223,223,76410,3,6,1007,1,3,450,0,0,0
202599,190,17860,2,Columbia  MO ,643,643,268091,13,26,4718,3,10,6162,10,146,25744,643,643,268091,13,26,4718,3,10,6162,10,146,25744
202599,190,27620,2,Jefferson City  MO ,181,181,61666,5,10,1746,5,15,2472,0,0,0,145,145,53018,5,10,1746,4,12,2190,0,0,0
202599,190,33020,5,Mexico  MO ,28,28,5858,0,0,0,0,0,0,0,0,0,28,28,5858,0,0,0,0,0,0,0,0,0
202599,190,33620,5,Moberly  MO ,89,89,31505,0,0,0,0,0,0,0,0,0,89,89,31505,0,0,0,0,0,0,0,0,0
202599,192,17900,2,Columbia  SC ,4969,4969,1332370,29,58,10488,47,179,26075,20,864,147566,3872,3872,1109772,29,58,10488,47,179,26075,20,864,147566
202599,192,35140,5,Newberry  SC ,151,151,61221,0,0,0,1,3,450,1,6,900,63,63,24239,0,0,0,1,3,450,1,6,900
202599,192,36700,5,Orangeburg  SC ,83,83,11965,0,0,0,0,0,0,4,24,4000,9,9,1306,0,0,0,0,0,0,4,24,4000
202599,192,44940,2,Sumter  SC ,320,320,53680,19,38,3623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202599,194,10760,5,Alexander City  AL ,230,230,136417,0,0,0,0,0,0,0,0,0,230,230,136417,0,0,0,0,0,0,0,0,0
202599,194,12220,2,Auburn-Opelika  AL ,1557,1557,450908,12,24,3090,0,0,0,0,0,0,1534,1534,444234,12,24,3090,0,0,0,0,0,0
202599,194,17980,2,Columbus  GA-AL ,571,571,165070,2,4,610,0,0,0,6,30,3090,151,151,34407,2,4,610,0,0,0,0,0,0
202599,198,11900,5,Athens  OH ,11,11,4629,3,6,800,1,3,600,7,159,25021,11,11,4629,3,6,800,1,3,600,7,159,25021
202599,198,13340,5,Bellefontaine  OH ,117,117,34236,0,0,0,1,3,975,0,0,0,89,89,25410,0,0,0,1,3,975,0,0,0
202599,198,15740,5,Cambridge  OH ,41,41,12874,0,0,0,0,0,0,0,0,0,41,41,12874,0,0,0,0,0,0,0,0,0
202599,198,17060,5,Chillicothe  OH ,29,29,10631,15,30,2262,0,0,0,0,0,0,14,14,5140,14,28,2100,0,0,0,0,0,0
202599,198,18140,2,Columbus  OH ,5549,5549,2373502,148,296,53981,101,363,64084,360,9549,1072525,5310,5310,2286798,146,292,52981,101,363,64084,359,9536,1070953
202599,198,32020,5,Marion  OH ,60,60,19636,0,0,0,0,0,0,0,0,0,57,57,18575,0,0,0,0,0,0,0,0,0
202599,198,34540,5,Mount Vernon  OH ,154,154,53997,2,4,830,0,0,0,6,112,11800,116,116,42477,2,4,830,0,0,0,6,112,11800
202599,198,47920,5,Washington Court House  OH ,79,79,20482,1,2,150,0,0,0,0,0,0,79,79,20482,1,2,150,0,0,0,0,0,0
202599,198,49780,5,Zanesville  OH ,25,25,8418,8,16,2794,2,6,1095,15,155,24204,17,17,6241,8,16,2794,2,6,1095,15,155,24204
202599,204,10860,5,Alice  TX ,3,3,435,0,0,0,0,0,0,0,0,0,1,1,25,0,0,0,0,0,0,0,0,0
202599,204,18580,2,Corpus Christi  TX ,1952,1952,540777,9,18,2794,1,4,584,13,142,20379,802,802,219809,3,6,931,1,4,584,4,94,13491
202599,204,28780,5,Kingsville  TX ,18,18,3017,0,0,0,0,0,0,0,0,0,12,12,1918,0,0,0,0,0,0,0,0,0
202599,206,11980,5,Athens  TX ,166,166,51406,5,10,905,0,0,0,0,0,0,152,152,48566,5,10,905,0,0,0,0,0,0
202599,206,14300,5,Bonham  TX ,82,82,17851,1,2,280,0,0,0,0,0,0,82,82,17851,1,2,280,0,0,0,0,0,0
202599,206,18620,5,Corsicana  TX ,459,459,129354,9,18,2908,0,0,0,0,0,0,452,452,127189,9,18,2908,0,0,0,0,0,0
202599,206,19100,2,Dallas-Fort Worth-Arlington  TX ,39790,39790,11915970,614,1228,189456,149,554,78294,786,24607,4127428,36893,36893,11197524,450,900,141942,131,495,70190,771,24452,4113333
202599,206,20460,5,Durant  OK ,122,122,24041,14,28,3743,0,0,0,1,5,881,116,116,21921,13,26,3535,0,0,0,0,0,0
202599,206,23620,5,Gainesville  TX ,69,69,19170,0,0,0,0,0,0,0,0,0,57,57,16237,0,0,0,0,0,0,0,0,0
202599,206,24180,5,Granbury  TX ,258,258,81156,0,0,0,0,0,0,0,0,0,258,258,81156,0,0,0,0,0,0,0,0,0
202599,206,33420,5,Mineral Wells  TX ,22,22,6512,0,0,0,0,0,0,0,0,0,22,22,6512,0,0,0,0,0,0,0,0,0
202599,206,43300,2,Sherman-Denison  TX ,1175,1175,351402,5,10,1590,0,0,0,33,696,96713,1174,1174,351052,5,10,1590,0,0,0,33,696,96713
202599,206,44860,5,Sulphur Springs  TX ,62,62,12585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202599,209,17540,5,Clinton  IA ,37,37,14824,0,0,0,0,0,0,9,48,8000,30,30,12517,0,0,0,0,0,0,0,0,0
202599,209,19340,2,Davenport-Moline-Rock Island  IA-IL ,377,377,111771,17,34,5625,12,44,6798,16,140,18669,340,340,103124,10,20,3350,9,35,6049,5,78,12167
