NAME,B19013_001E,B01003_001E,B01002_001E,B15003_022E,B15003_023E,B25003_001E,B25003_002E,B25077_001E,metropolitan statistical area/micropolitan statistical area,metropolitan division,geo_level,geo_code,parent_cbsa,year
"Montgomery County-Bucks County-Chester County, PA Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",92898,1970189,41.8,381753,195726,746016,554030,330900,37980,33874,division,33874,37980,2019
"Philadelphia, PA Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",52114,2143629,35.4,271614,131577,808594,461434,180000,37980,37964,division,37964,37980,2019
"Wilmington, DE-MD-NJ Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",73634,721707,39.0,96875,49021,266820,183831,250200,37980,48864,division,48864,37980,2019
"Oakland-Berkeley-Livermore, CA Metro Division; San Francisco-Oakland-Berkeley, CA Metro Area",99545,2799005,38.4,526941,250683,971946,569135,704400,41860,36084,division,36084,41860,2019
"San Francisco-San Mateo-Redwood City, CA Metro Division; San Francisco-Oakland-Berkeley, CA Metro Area",117029,1642384,38.9,401306,184973,625897,294782,1093700,41860,41884,division,41884,41860,2019
"San Rafael, CA Metro Division; San Francisco-Oakland-Berkeley, CA Metro Area",115246,259943,46.8,65371,29500,105432,67115,995800,41860,42034,division,42034,41860,2019
"Seattle-Bellevue-Kent, WA Metro Division; Seattle-Tacoma-Bellevue, WA Metro Area",92351,2994310,37.2,614964,278213,1175851,699429,488500,42660,42644,division,42644,42660,2019
"Tacoma-Lakewood, WA Metro Division; Seattle-Tacoma-Bellevue, WA Metro Area",72113,877013,36.1,105347,40093,323296,200836,303200,42660,45104,division,45104,42660,2019
"Frederick-Gaithersburg-Rockville, MD Metro Division; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",106328,1294952,39.2,233699,161480,463476,312246,443800,47900,23224,division,23224,47900,2019
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Division; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",103071,4901633,36.5,858694,581875,1753521,1097079,417900,47900,47894,division,47894,47900,2019
