NAME,B19013_001E,B01003_001E,B01002_001E,B15003_022E,B15003_023E,B25003_001E,B25003_002E,B25077_001E,metropolitan statistical area/micropolitan statistical area,metropolitan division,geo_level,geo_code,parent_cbsa,year
"Dubuque, IA Metro Area",63031,96982,38.6,12828,5181,38210,28023,166800,20220,,msa,20220,,2019
"Duluth, MN-WI Metro Area",56573,289247,41.6,36868,12671,123623,89138,158900,20260,,msa,20260,,2019
"Dumas, TX Micro Area",54871,21399,30.8,1144,557,6733,4433,121900,20300,,msa,20300,,2019
"Duncan, OK Micro Area",47214,43647,40.7,3741,974,16720,12108,107700,20340,,msa,20340,,2019
"Durango, CO Micro Area",68685,55617,40.4,11024,4183,21794,15400,395600,20420,,msa,20420,,2019
"Durant, OK Micro Area",44212,46457,37.2,4349,1870,17253,10733,117400,20460,,msa,20460,,2019
"Durham-Chapel Hill, NC Metro Area",62289,626695,37.6,98868,56461,245658,151655,226100,20500,,msa,20500,,2019
"Dyersburg, TN Micro Area",44185,37416,40.5,2538,1193,15120,9300,103800,20540,,msa,20540,,2019
"Eagle Pass, TX Micro Area",39625,58174,29.6,3254,713,16286,10702,97900,20580,,msa,20580,,2019
"Easton, MD Micro Area",73547,37167,50.5,5878,3312,16826,11828,336800,20660,,msa,20660,,2019
"East Stroudsburg, PA Metro Area",63934,168032,42.9,18359,8276,57098,43960,168000,20700,,msa,20700,,2019
"Eau Claire, WI Metro Area",59584,167406,37.0,20150,7536,66582,45136,168600,20740,,msa,20740,,2019
"Edwards, CO Micro Area",84790,54681,37.0,13051,3456,18171,12680,562300,20780,,msa,20780,,2019
"Effingham, IL Micro Area",56685,34137,39.4,3670,1186,13877,10462,143600,20820,,msa,20820,,2019
"El Campo, TX Micro Area",48310,41577,37.3,3217,1350,15199,10178,128100,20900,,msa,20900,,2019
"El Centro, CA Metro Area",47622,180701,32.4,11716,3829,44829,26156,195800,20940,,msa,20940,,2019
"El Dorado, AR Micro Area",44663,39449,40.3,4034,1225,15726,11865,86500,20980,,msa,20980,,2019
"Elizabeth City, NC Micro Area",49788,52944,41.4,4939,2433,20633,13237,166100,21020,,msa,21020,,2019
"Elizabethtown-Fort Knox, KY Metro Area",54132,150913,37.7,11484,7671,58072,37617,152700,21060,,msa,21060,,2019
"Elk City, OK Micro Area",50721,22268,35.9,1670,584,7578,5020,128400,21120,,msa,21120,,2019
"Elkhart-Goshen, IN Metro Area",57021,204558,35.6,16854,6792,71718,50067,144300,21140,,msa,21140,,2019
"Elkins, WV Micro Area",43320,28930,43.7,2104,1085,11135,7965,110300,21180,,msa,21180,,2019
"Elko, NV Micro Area",80725,54156,34.5,3543,1675,18839,13441,210300,21220,,msa,21220,,2019
"Ellensburg, WA Micro Area",56004,45897,33.8,6173,1894,18347,10849,286900,21260,,msa,21260,,2019
"Elmira, NY Metro Area",54940,84895,41.3,7568,5015,33989,23217,105800,21300,,msa,21300,,2019
"El Paso, TX Metro Area",46795,840477,32.2,80791,29496,269288,164721,121300,21340,,msa,21340,,2019
"Emporia, KS Micro Area",46217,35888,34.2,3626,1714,14620,8991,106300,21380,,msa,21380,,2019
"Enid, OK Metro Area",54006,61898,35.8,6145,2461,23541,15488,112600,21420,,msa,21420,,2019
"Enterprise, AL Micro Area",55637,51662,39.3,5394,2200,19924,13099,147400,21460,,msa,21460,,2019
"Erie, PA Metro Area",51529,273835,39.7,33624,14279,110318,72878,134100,21500,,msa,21500,,2019
"Escanaba, MI Micro Area",47434,36026,47.4,3827,1270,16234,12565,114300,21540,,msa,21540,,2019
"Española, NM Micro Area",39952,39159,41.3,3372,1523,12730,9784,167300,21580,,msa,21580,,2019
"Forrest City, AR Micro Area",35348,25900,38.8,1173,515,9388,5139,64600,22620,,msa,22620,,2019
"Eufaula, AL-GA Micro Area",32327,27650,40.6,1449,524,10187,6282,87700,21640,,msa,21640,,2019
"Eugene-Springfield, OR Metro Area",52426,373340,39.4,47164,21669,152312,89359,263200,21660,,msa,21660,,2019
"Eureka-Arcata, CA Micro Area",48041,135940,38.4,18745,6030,54679,31078,313200,21700,,msa,21700,,2019
"Evanston, WY Micro Area",63403,20479,35.8,1433,557,7597,5854,175000,21740,,msa,21740,,2019
"Evansville, IN-KY Metro Area",54063,314960,39.7,36296,14628,128919,87956,139400,21780,,msa,21780,,2019
"Fairbanks, AK Metro Area",76992,99072,31.3,11741,4803,36188,21322,240000,21820,,msa,21820,,2019
"Fairfield, IA Micro Area",47708,18148,42.9,2403,1434,6754,4477,118300,21840,,msa,21840,,2019
"Fairmont, MN Micro Area",52798,19852,45.3,2104,566,8759,6466,118300,21860,,msa,21860,,2019
"Fairmont, WV Micro Area",50305,56355,41.1,5659,2311,22926,17108,116800,21900,,msa,21900,,2019
"Fallon, NV Micro Area",57824,24259,39.7,2182,673,9940,6503,191500,21980,,msa,21980,,2019
"Fort Morgan, CO Micro Area",53682,28517,36.2,2028,829,10928,6999,201200,22820,,msa,22820,,2019
"Fort Payne, AL Micro Area",40440,71310,39.5,3727,1956,26040,18627,106100,22840,,msa,22840,,2019
"Fort Polk South, LA Micro Area",49141,49646,30.4,3804,1138,17696,9383,119300,22860,,msa,22860,,2019
"Fort Smith, AR-OK Metro Area",44750,249777,38.7,21307,6392,97383,64201,115000,22900,,msa,22900,,2019
"Fargo, ND-MN Metro Area",64666,240421,32.5,41213,11915,100207,55980,215200,22020,,msa,22020,,2019
"Faribault-Northfield, MN Micro Area",68584,66185,36.5,7550,2876,23005,17018,208600,22060,,msa,22060,,2019
"Farmington, MO Micro Area",46466,66643,39.4,3888,2146,24898,17043,121000,22100,,msa,22100,,2019
"Farmington, NM Metro Area",50518,126515,35.4,7114,3967,43387,30813,151200,22140,,msa,22140,,2019
"Fayetteville, NC Metro Area",48459,519101,32.3,51124,20131,188642,105248,141000,22180,,msa,22180,,2019
"Fayetteville-Springdale-Rogers, AR Metro Area",57603,514259,34.0,67432,27787,190853,115569,176000,22220,,msa,22220,,2019
"Fergus Falls, MN Micro Area",58682,58195,46.8,7221,2128,24687,19324,189100,22260,,msa,22260,,2019
"Fernley, NV Micro Area",56875,54380,43.7,4031,1142,21189,14985,214900,22280,,msa,22280,,2019
"Findlay, OH Micro Area",58450,75837,39.3,8488,4493,31937,21977,147600,22300,,msa,22300,,2019
"Fitzgerald, GA Micro Area",32229,17033,39.9,841,287,6443,3791,83400,22340,,msa,22340,,2019
"Flagstaff, AZ Metro Area",59460,141274,30.7,17122,9001,47447,28962,280900,22380,,msa,22380,,2019
"Flint, MI Metro Area",48588,407875,40.5,37711,16727,167902,117587,111100,22420,,msa,22420,,2019
"Florence, SC Metro Area",44114,205502,39.9,19584,8114,78672,52717,118600,22500,,msa,22500,,2019
"Florence-Muscle Shoals, AL Metro Area",48084,147327,41.7,13947,6239,60351,42010,135300,22520,,msa,22520,,2019
"Fond du Lac, WI Metro Area",62391,102597,41.6,11507,3958,41542,29192,157800,22540,,msa,22540,,2019
"Forest City, NC Micro Area",42608,66599,45.0,5826,2067,26683,19088,118300,22580,,msa,22580,,2019
"Fort Leonard Wood, MO Micro Area",53492,52425,27.6,5133,2702,15154,7472,159200,22780,,msa,22780,,2019
"Fort Madison-Keokuk, IA-IL-MO Micro Area",50694,58989,44.1,5089,1735,24299,18610,91100,22800,,msa,22800,,2019
"Fort Wayne, IN Metro Area",55341,406305,36.4,48978,18374,158807,110557,130700,23060,,msa,23060,,2019
"Frankfort, IN Micro Area",54286,32273,37.8,2318,954,12033,8492,111500,23140,,msa,23140,,2019
"Frankfort, KY Micro Area",56024,72938,41.0,8444,4211,29770,19848,144900,23180,,msa,23180,,2019
"Fredericksburg, TX Micro Area",59155,26459,50.0,4465,1282,10694,7747,286900,23240,,msa,23240,,2019
"Freeport, IL Micro Area",48805,45093,45.3,4233,1438,19739,13801,97800,23300,,msa,23300,,2019
"Fremont, NE Micro Area",54085,36665,38.9,2886,1450,15261,9481,130200,23340,,msa,23340,,2019
"Fremont, OH Micro Area",54089,59029,42.2,4437,1869,23574,17144,115400,23380,,msa,23380,,2019
"Fresno, CA Metro Area",53969,984521,32.2,84769,27427,307906,164124,255000,23420,,msa,23420,,2019
"Gadsden, AL Metro Area",44637,102748,41.4,7899,3444,38942,28267,113700,23460,,msa,23460,,2019
"Gaffney, SC Micro Area",36883,56895,39.3,3612,1474,20699,14270,101500,23500,,msa,23500,,2019
"Gainesville, FL Metro Area",46843,323799,33.7,39357,20925,120833,71998,167500,23540,,msa,23540,,2019
"Gainesville, GA Metro Area",62984,198667,36.7,19688,7990,64352,44697,201300,23580,,msa,23580,,2019
"Gainesville, TX Micro Area",60202,40041,40.7,3800,1422,15351,10642,161100,23620,,msa,23620,,2019
"Galesburg, IL Micro Area",44129,50508,42.1,4381,1748,20680,13797,83000,23660,,msa,23660,,2019
"Gallup, NM Micro Area",33834,72438,32.4,2638,1821,20942,14852,64800,23700,,msa,23700,,2019
"Garden City, KS Micro Area",59477,40657,31.1,2527,1063,13720,8972,149600,23780,,msa,23780,,2019
"Gardnerville Ranchos, NV Micro Area",66810,48132,52.0,6859,2958,20741,14811,378800,23820,,msa,23820,,2019
"Georgetown, SC Micro Area",48456,61952,49.5,7692,3693,25498,20099,188800,23860,,msa,23860,,2019
"Gettysburg, PA Metro Area",67253,102470,43.9,9154,5258,39345,30692,205800,23900,,msa,23900,,2019
"Gillette, WY Micro Area",78833,61930,35.6,5697,1611,23384,17687,218400,23940,,msa,23940,,2019
"Glasgow, KY Micro Area",40899,53920,41.0,3562,1635,21005,14482,113200,23980,,msa,23980,,2019
"Glens Falls, NY Metro Area",59395,125892,45.5,13257,8810,52029,37602,172400,24020,,msa,24020,,2019
"Glenwood Springs, CO Micro Area",76482,76981,37.4,14344,3977,28965,19225,385300,24060,,msa,24060,,2019
"Gloversville, NY Micro Area",50482,53646,43.9,3785,2705,22557,15942,109600,24100,,msa,24100,,2019
"Goldsboro, NC Metro Area",44416,123603,37.8,10684,3845,48343,30032,123500,24140,,msa,24140,,2019
"Granbury, TX Micro Area",64041,58318,47.0,7137,3028,22152,17134,193500,24180,,msa,24180,,2019
"Grand Forks, ND-MN Metro Area",55609,101745,32.1,13271,4363,43086,23975,192100,24220,,msa,24220,,2019
"Grand Island, NE Metro Area",57086,75480,37.2,7420,2166,29189,18993,143200,24260,,msa,24260,,2019
"Grand Junction, CO Metro Area",55379,151218,39.7,19191,7189,61742,42093,227000,24300,,msa,24300,,2019
"Grand Rapids, MN Micro Area",55139,45141,46.3,5156,1719,19506,15853,164100,24330,,msa,24330,,2019
"Grand Rapids-Kentwood, MI Metro Area",63302,1062392,35.8,151172,56332,391233,284679,172900,24340,,msa,24340,,2019
"Grants, NM Micro Area",39413,26891,37.3,1577,713,8708,5981,84400,24380,,msa,24380,,2019
"Grants Pass, OR Metro Area",45616,86251,47.7,7021,2968,36367,24116,265500,24420,,msa,24420,,2019
"Great Bend, KS Micro Area",49723,26453,39.9,2611,793,10624,7464,93300,24460,,msa,24460,,2019
"Great Falls, MT Metro Area",49913,81625,38.3,9687,3314,34329,22099,179900,24500,,msa,24500,,2019
"Greeley, CO Metro Area",74150,305345,34.4,36473,13676,104671,76321,299000,24540,,msa,24540,,2019
"Green Bay, WI Metro Area",62405,319401,38.8,42538,13030,129648,88138,171200,24580,,msa,24580,,2019
"Greeneville, TN Micro Area",42595,68834,44.7,5187,2315,27396,20270,122400,24620,,msa,24620,,2019
"Greensboro-High Point, NC Metro Area",50891,762063,38.8,99314,38540,297916,186510,149200,24660,,msa,24660,,2019
"Greensburg, IN Micro Area",57949,26562,39.2,2543,917,10353,7230,134400,24700,,msa,24700,,2019
"Greenville, MS Micro Area",29705,46057,37.2,3197,1545,17988,9514,75600,24740,,msa,24740,,2019
"Greenville, NC Metro Area",47437,178433,32.5,22163,9279,69799,36378,148600,24780,,msa,24780,,2019
"Greenville, OH Micro Area",55620,51513,41.9,3560,1584,20861,15186,123300,24820,,msa,24820,,2019
"Greenville-Anderson, SC Metro Area",54886,895942,38.6,112391,49302,343270,235310,163400,24860,,msa,24860,,2019
"Greenwood, MS Micro Area",30218,39292,36.1,2603,1100,13789,8148,86900,24900,,msa,24900,,2019
"Greenwood, SC Micro Area",42336,70411,39.5,7624,3045,27612,17681,122800,24940,,msa,24940,,2019
"Grenada, MS Micro Area",40122,21088,39.2,1973,850,8391,5367,105000,24980,,msa,24980,,2019
"Guayama, PR Metro Area",16980,75623,40.8,7639,1659,26074,18888,88000,25020,,msa,25020,,2019
"Gulfport-Biloxi, MS Metro Area",49068,412115,38.0,38641,16173,156897,100678,142500,25060,,msa,25060,,2019
"Guymon, OK Micro Area",52282,20805,33.0,2212,463,6768,4601,115100,25100,,msa,25100,,2019
"Hagerstown-Martinsburg, MD-WV Metro Area",61138,283147,40.2,25716,13133,107441,75935,195300,25180,,msa,25180,,2019
"Hailey, ID Micro Area",54987,23421,43.2,3815,1417,8389,5899,413700,25200,,msa,25200,,2019
"Hammond, LA Metro Area",47832,132057,35.3,11919,3811,47597,32840,162800,25220,,msa,25220,,2019
"Hanford-Corcoran, CA Metro Area",57848,150691,31.8,9430,2843,43452,22733,215900,25260,,msa,25260,,2019
"Hannibal, MO Micro Area",50960,38842,40.6,3503,1451,15601,10923,127800,25300,,msa,25300,,2019
"Harrisburg-Carlisle, PA Metro Area",64916,571013,40.4,79849,34450,230247,155542,183400,25420,,msa,25420,,2019
"Harrison, AR Micro Area",44562,45143,43.3,3614,1380,17970,13265,122300,25460,,msa,25460,,2019
"Harrisonburg, VA Metro Area",56500,133557,34.0,14059,7136,47717,29701,209300,25500,,msa,25500,,2019
"Hartford-East Hartford-Middletown, CT Metro Area",77769,1207677,40.8,183857,105719,473062,313835,249200,25540,,msa,25540,,2019
"Hastings, NE Micro Area",53023,31587,37.7,3217,1226,12712,8449,128500,25580,,msa,25580,,2019
"Hattiesburg, MS Metro Area",46800,168177,35.2,18246,8138,61584,39316,137100,25620,,msa,25620,,2019
"Hays, KS Micro Area",52883,28775,32.5,4096,1644,11544,7061,169100,25700,,msa,25700,,2019
"Heber, UT Micro Area",94989,72811,36.8,14313,5528,24099,18213,528400,25720,,msa,25720,,2019
"Helena, MT Micro Area",66419,79722,41.9,14089,6191,32377,23152,248400,25740,,msa,25740,,2019
"Helena-West Helena, AR Micro Area",29320,18606,38.9,1037,461,7485,3607,70700,25760,,msa,25760,,2019
"Henderson, NC Micro Area",40529,44479,40.9,3087,1036,16875,9529,101400,25780,,msa,25780,,2019
"Hereford, TX Micro Area",49701,18736,31.9,1020,224,6145,3935,91100,25820,,msa,25820,,2019
"Hermiston-Pendleton, OR Micro Area",54645,88432,36.7,5920,2637,31016,20554,165400,25840,,msa,25840,,2019
"Hickory-Lenoir-Morganton, NC Metro Area",48114,366678,43.0,32654,11856,144508,103786,131600,25860,,msa,25860,,2019
"Hillsdale, MI Micro Area",49622,45757,42.3,3334,1522,18107,13847,120100,25880,,msa,25880,,2019
"Hilo, HI Micro Area",62409,199459,42.7,28023,8895,69453,47047,350000,25900,,msa,25900,,2019
"Hilton Head Island-Bluffton, SC Metro Area",64959,214752,44.8,34406,17166,81746,59790,285400,25940,,msa,25940,,2019
"Hinesville, GA Metro Area",50160,80041,29.1,5582,2255,29180,14674,124100,25980,,msa,25980,,2019
"Hobbs, NM Micro Area",60546,70277,31.8,3526,1748,22523,15045,133100,26020,,msa,26020,,2019
"Holland, MI Micro Area",62965,116143,39.8,11862,4689,43416,35849,165400,26090,,msa,26090,,2019
"Homosassa Springs, FL Metro Area",44237,145169,56.5,13153,5826,63681,52144,131500,26140,,msa,26140,,2019
"Hood River, OR Micro Area",65679,23209,39.3,2657,1620,8600,5782,373600,26220,,msa,26220,,2019
"Hope, AR Micro Area",41125,30193,40.9,2064,777,11491,7881,77100,26260,,msa,26260,,2019
"Hot Springs, AR Metro Area",44777,98555,45.0,9961,3916,40209,27270,139900,26300,,msa,26300,,2019
"Houghton, MI Micro Area",44198,38181,34.4,4265,2096,14467,9905,109800,26340,,msa,26340,,2019
"Houma-Thibodaux, LA Metro Area",51837,210162,36.7,15931,4742,76867,56805,155100,26380,,msa,26380,,2019
"Houston-The Woodlands-Sugar Land, TX Metro Area",67516,6884138,34.3,925398,370856,2352275,1421765,193900,26420,,msa,26420,,2019
"Hudson, NY Micro Area",66787,60371,48.2,7841,5150,24966,18403,233600,26460,,msa,26460,,2019
"Huntingdon, PA Micro Area",51678,45369,43.7,3813,1483,16779,12695,136400,26500,,msa,26500,,2019
"Huntington, IN Micro Area",53632,36359,40.7,3247,1487,14742,11125,107200,26540,,msa,26540,,2019
"Huntington-Ashland, WV-KY-OH Metro Area",45441,361832,41.4,30169,14980,140894,100577,120600,26580,,msa,26580,,2019
"Huntsville, AL Metro Area",64483,457003,38.7,75800,37434,180332,123997,179700,26620,,msa,26620,,2019
"Huntsville, TX Micro Area",43742,72321,35.3,6700,2071,21963,11290,152300,26660,,msa,26660,,2019
"Huron, SD Micro Area",51662,20364,39.1,1944,627,8478,5637,107500,26700,,msa,26700,,2019
"Hutchinson, KS Micro Area",49936,62765,40.3,6038,2186,25014,17331,101300,26740,,msa,26740,,2019
"Hutchinson, MN Micro Area",62121,35832,40.7,3114,922,14714,11426,164700,26780,,msa,26780,,2019
"Idaho Falls, ID Metro Area",61007,145507,32.8,18062,5293,49526,35577,183000,26820,,msa,26820,,2019
"Indiana, PA Micro Area",49320,85032,40.2,7395,3852,33246,23660,121100,26860,,msa,26860,,2019
"Indianapolis-Carmel-Anderson, IN Metro Area",61552,2029472,36.5,302485,118424,776607,506185,163100,26900,,msa,26900,,2019
"Indianola, MS Micro Area",30838,26168,35.6,1700,798,8322,4458,78400,26940,,msa,26940,,2019
"Iowa City, IA Metro Area",62544,170677,31.3,26548,12502,67966,40856,216000,26980,,msa,26980,,2019
"Iron Mountain, MI-WI Micro Area",51730,29753,47.7,3707,1346,13179,10368,106800,27020,,msa,27020,,2019
"Ithaca, NY Metro Area",60240,102642,31.1,13563,10855,39618,21755,204600,27060,,msa,27060,,2019
"Jackson, MI Metro Area",53658,158636,41.2,16535,6201,61805,45409,131600,27100,,msa,27100,,2019
"Jackson, MS Metro Area",52504,597727,36.5,72436,31504,217785,146618,145600,27140,,msa,27140,,2019
"Jackson, OH Micro Area",47550,32450,40.1,2073,1027,12780,8847,97400,27160,,msa,27160,,2019
"Jackson, TN Metro Area",46875,178442,39.1,16331,6674,68815,45440,118000,27180,,msa,27180,,2019
"Jackson, WY-ID Micro Area",81427,34706,38.6,9026,3043,12726,8330,549800,27220,,msa,27220,,2019
"Jacksonville, FL Metro Area",61723,1503574,38.3,213615,81866,563946,363686,204700,27260,,msa,27260,,2019
"Jacksonville, IL Micro Area",52040,39252,41.5,3530,1207,15658,10950,107300,27300,,msa,27300,,2019
"Jacksonville, NC Metro Area",50278,195069,26.4,16761,5543,64386,34160,156900,27340,,msa,27340,,2019
"Jacksonville, TX Micro Area",48186,52118,37.9,4027,1331,18138,13034,102900,27380,,msa,27380,,2019
"Jamestown, ND Micro Area",57674,20965,40.5,2681,585,8908,5842,155500,27420,,msa,27420,,2019
"Jamestown-Dunkirk-Fredonia, NY Micro Area",46820,128496,42.6,11200,7029,53075,36755,88000,27460,,msa,27460,,2019
"Janesville-Beloit, WI Metro Area",57875,162152,39.5,16246,6332,64739,44254,146200,27500,,msa,27500,,2019
"Jasper, AL Micro Area",43629,64110,42.1,3293,1266,25019,19327,104300,27530,,msa,27530,,2019
"Jasper, IN Micro Area",57849,54921,41.0,5739,1908,22022,17384,144500,27540,,msa,27540,,2019
"Jayuya, PR Micro Area",14808,14539,38.6,1252,456,4837,2798,94100,27580,,msa,27580,,2019
"Jefferson, GA Micro Area",65385,67885,38.1,6798,2480,23166,18041,189700,27600,,msa,27600,,2019
"Jefferson City, MO Metro Area",59186,151273,38.7,18938,7372,56683,40088,157000,27620,,msa,27620,,2019
"Jennings, LA Micro Area",42105,31441,37.8,2250,1032,11726,8550,114000,27660,,msa,27660,,2019
"Jesup, GA Micro Area",45483,29788,38.9,1623,655,10400,6605,105400,27700,,msa,27700,,2019
"Johnson City, TN Metro Area",44439,202049,42.3,22629,9694,85301,57028,148400,27740,,msa,27740,,2019
"Johnstown, PA Metro Area",46659,133009,45.4,12802,5202,56674,42000,91900,27780,,msa,27780,,2019
"Jonesboro, AR Metro Area",46068,131241,35.1,12665,4765,50901,29617,127500,27860,,msa,27860,,2019
"Joplin, MO Metro Area",49098,178100,37.0,18426,5660,67961,44973,122200,27900,,msa,27900,,2019
"Juneau, AK Micro Area",88390,32227,38.1,5540,2067,12676,8212,345900,27940,,msa,27940,,2019
"Kahului-Wailuku-Lahaina, HI Metro Area",80948,165979,41.2,21366,7390,54479,33259,633500,27980,,msa,27980,,2019
"Aberdeen, SD Micro Area",59270,42824,37.3,5936,1614,17849,11701,163900,10100,,msa,10100,,2019
"Aberdeen, WA Micro Area",51240,72779,44.0,5710,2244,28722,19254,178800,10140,,msa,10140,,2019
"Abilene, TX Metro Area",52511,170669,34.1,16565,6061,60931,37756,116100,10180,,msa,10180,,2019
"Ada, OK Micro Area",50392,38355,35.7,4359,2143,14278,9414,129300,10220,,msa,10220,,2019
"Adrian, MI Micro Area",55450,98381,41.9,9361,4042,38345,29728,139400,10300,,msa,10300,,2019
"Aguadilla-Isabela, PR Metro Area",16470,301107,42.6,33263,8643,109248,71462,96600,10380,,msa,10380,,2019
"Akron, OH Metro Area",57285,703845,40.3,96686,42654,286543,190863,150000,10420,,msa,10420,,2019
"Alamogordo, NM Micro Area",41988,66137,35.8,4596,2281,23634,15172,112400,10460,,msa,10460,,2019
"Albany, GA Metro Area",44844,148436,36.9,11153,5521,55714,30225,117700,10500,,msa,10500,,2019
"Albany-Lebanon, OR Metro Area",55893,125048,39.6,11549,3675,47762,30748,221600,10540,,msa,10540,,2019
"Albany-Schenectady-Troy, NY Metro Area",71285,880736,40.0,125071,75480,352713,225446,213600,10580,,msa,10580,,2019
"Albemarle, NC Micro Area",52623,61588,42.2,5373,1624,23332,17355,138900,10620,,msa,10620,,2019
"Albert Lea, MN Micro Area",53631,30463,44.0,2686,716,13009,9975,113800,10660,,msa,10660,,2019
"Albertville, AL Micro Area",45983,95643,38.8,8306,3221,34883,24480,128800,10700,,msa,10700,,2019
"Albuquerque, NM Metro Area",54072,912108,38.2,112215,61389,351354,235397,192800,10740,,msa,10740,,2019
"Alexander City, AL Micro Area",43941,51298,45.7,4103,1640,20237,15326,103300,10760,,msa,10760,,2019
"Alexandria, LA Metro Area",46367,153310,37.6,12254,4885,55477,34725,136200,10780,,msa,10780,,2019
"Alexandria, MN Micro Area",63819,37513,44.2,4911,1425,16663,12380,214800,10820,,msa,10820,,2019
"Alice, TX Micro Area",41461,52240,34.9,2820,785,16498,11468,71600,10860,,msa,10860,,2019
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",67652,837610,41.4,106961,48782,320529,220430,213800,10900,,msa,10900,,2019
"Alma, MI Micro Area",47848,40916,39.5,2780,1242,15035,11172,95400,10940,,msa,10940,,2019
"Alpena, MI Micro Area",43363,28520,48.1,2416,1055,12752,9940,96500,10980,,msa,10980,,2019
"Altoona, PA Metro Area",49181,123157,43.4,12495,4860,52126,36377,123600,11020,,msa,11020,,2019
"Altus, OK Micro Area",49703,25063,34.1,2352,1146,9762,5710,106500,11060,,msa,11060,,2019
"Amarillo, TX Metro Area",55515,263776,35.1,28965,9183,97345,62393,140500,11100,,msa,11100,,2019
"Americus, GA Micro Area",38156,35285,36.0,2272,1031,13374,7722,99800,11140,,msa,11140,,2019
"Ames, IA Metro Area",58600,123311,29.2,18492,7673,48765,28793,170600,11180,,msa,11180,,2019
"Amsterdam, NY Micro Area",49462,49302,41.0,3521,2064,19660,13455,105400,11220,,msa,11220,,2019
"Anchorage, AK Metro Area",83048,398900,34.0,52286,22002,137784,89426,294800,11260,,msa,11260,,2019
"Andrews, TX Micro Area",76158,18036,30.8,814,347,5573,4130,143900,11380,,msa,11380,,2019
"Angola, IN Micro Area",58279,34453,43.7,3223,1555,14261,11091,148800,11420,,msa,11420,,2019
"Ann Arbor, MI Metro Area",72586,367000,33.6,60380,43126,141245,86332,263600,11460,,msa,11460,,2019
"Anniston-Oxford, AL Metro Area",47255,114618,39.6,8311,4484,44605,31254,118000,11500,,msa,11500,,2019
"Appleton, WI Metro Area",67616,235628,38.8,33335,10466,93455,68362,171300,11540,,msa,11540,,2019
"Arcadia, FL Micro Area",35438,36903,40.9,2153,745,12072,8418,87700,11580,,msa,11580,,2019
"Ardmore, OK Micro Area",51195,58382,38.4,4692,2070,21607,15026,112800,11620,,msa,11620,,2019
"Arecibo, PR Metro Area",17954,180567,42.3,22087,5304,65547,45506,95900,11640,,msa,11640,,2019
"Arkadelphia, AR Micro Area",41620,22386,33.7,2252,846,8446,4859,111600,11660,,msa,11660,,2019
"Asheville, NC Metro Area",52735,454351,44.2,74111,32263,191756,129932,220600,11700,,msa,11700,,2019
"Ashland, OH Micro Area",52823,53536,40.4,4711,2156,20417,15065,128400,11740,,msa,11740,,2019
"Ashtabula, OH Micro Area",46700,97830,42.5,6564,2518,37832,26680,112700,11780,,msa,11780,,2019
"Astoria, OR Micro Area",54886,39102,44.2,4409,1866,15800,9826,283900,11820,,msa,11820,,2019
"Atchison, KS Micro Area",50439,16268,36.6,1307,698,5958,4133,110400,11860,,msa,11860,,2019
"Athens, OH Micro Area",40905,65917,29.6,5166,3813,22557,13048,129600,11900,,msa,11900,,2019
"Athens, TN Micro Area",43285,53053,42.6,4101,1377,20804,15283,133200,11940,,msa,11940,,2019
"Athens, TX Micro Area",47355,81070,43.9,6553,2873,30757,23133,108500,11980,,msa,11980,,2019
"Baton Rouge, LA Metro Area",58912,854318,35.6,100136,36666,308531,212985,181700,12940,,msa,12940,,2019
"Battle Creek, MI Metro Area",48607,134212,39.8,12525,5242,53991,37743,110000,12980,,msa,12980,,2019
"Athens-Clarke County, GA Metro Area",47214,208457,32.2,25183,14947,78662,42583,178700,12020,,msa,12020,,2019
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",68316,5862424,36.4,930303,409278,2104360,1331251,217000,12060,,msa,12060,,2019
"Atlantic City-Hammonton, NJ Metro Area",62110,266105,41.7,34305,12463,99850,67025,217900,12100,,msa,12100,,2019
"Atmore, AL Micro Area",36275,37057,40.0,2112,916,13089,8943,99400,12120,,msa,12120,,2019
"Auburn, IN Micro Area",56421,42927,39.1,3713,1240,16801,12781,124300,12140,,msa,12140,,2019
"Auburn, NY Micro Area",58377,77425,42.9,7686,4010,31221,22251,128000,12180,,msa,12180,,2019
"Auburn-Opelika, AL Metro Area",51463,161152,31.9,19015,10682,60237,37111,169300,12220,,msa,12220,,2019
"Augusta-Richmond County, GA-SC Metro Area",53269,599616,37.6,65143,26450,215210,144377,146100,12260,,msa,12260,,2019
"Augusta-Waterville, ME Micro Area",55365,121753,44.4,15073,6706,52105,36752,159400,12300,,msa,12300,,2019
"Austin, MN Micro Area",54295,39807,38.8,3943,1409,15565,11359,123900,12380,,msa,12380,,2019
"Austin-Round Rock-Georgetown, TX Metro Area",76844,2114441,34.7,408396,163686,764989,445231,281500,12420,,msa,12420,,2019
"Bainbridge, GA Micro Area",41481,26682,37.8,1417,720,10084,5797,110900,12460,,msa,12460,,2019
"Bakersfield, CA Metro Area",53350,887641,31.6,58968,20953,270282,157554,213900,12540,,msa,12540,,2019
"Baltimore-Columbia-Towson, MD Metro Area",81598,2796733,38.4,433703,246522,1049909,698615,298500,12580,,msa,12580,,2019
"Bangor, ME Metro Area",50808,151774,42.0,18842,7730,62156,43123,144700,12620,,msa,12620,,2019
"Baraboo, WI Micro Area",59943,63922,41.1,7418,2396,26222,18063,182200,12660,,msa,12660,,2019
